,Tremaine Edmunds LB,"('Unnamed: 0_level_0', 'GP')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'SCKYDS')","('Sacks', 'TFL')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Fumbles', 'FF')","('Fumbles', 'FR')","('Fumbles', 'FTD')","('Unnamed: 15_level_0', 'KB')",class,team,Jerome Baker LB,Jamie Collins Sr. LB,James Burgess LB,Chuck Clark S,Shawn Williams S,Joe Schobert LB,Devin Bush LB,Zach Cunningham LB,Anthony Walker LB,Jarrod Wilson S,Logan Ryan CB,Todd Davis LB,Anthony Hitchens LB,Tahir Whitehead LB,Thomas Davis Sr. LB,Jaylon Smith LB,Antoine Bethea S,Malcolm Jenkins S,Landon Collins S,Roquan Smith LB,Tracy Walker S,Blake Martinez LB,Eric Kendricks LB,De'Vondre Campbell LB,Luke Kuechly LB,Demario Davis LB,Lavonte David LB,Jordan Hicks LB,Cory Littleton LB,Fred Warner LB,Bobby Wagner LB
0,Jordan Poyer S,16,66,49,115,1.5,11,11.5,9,1,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Matt Milano LB,16,71,36,107,1.0,5,5.5,3,2,0,0,0,3,3,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Levi Wallace CB,15,65,36,101,1.5,12,9.5,9,0,0,0,0,1,1,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Micah Hyde S,16,66,10,76,0.0,0,4.0,9,2,2,2,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tre'Davious White CB,16,50,22,72,0.0,0,1.5,2,1,0,0,0,2,1,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lorenzo Alexander LB,15,48,10,58,1.0,9,4.5,17,6,57,49,0,2,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Taron Johnson CB,16,35,20,55,2.0,13,5.0,9,0,0,0,0,1,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ed Oliver DT,12,39,11,50,1.0,7,2.0,5,0,0,0,0,1,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kevin Johnson CB,16,24,19,43,5.0,39,7.0,2,0,0,0,0,1,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Siran Neal S,16,25,11,36,1.0,2,1.5,5,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
