,Name,POS,Age,HT,WT,Exp,College,team
0,Tyler Bass2,PK,--,"5' 10""",183 lbs,R,Georgia Southern,Bills
1,Stephen Hauschka4,PK,34,"6' 4""",210 lbs,13,North Carolina State,Bills
2,Kaare Vedvik7,PK,26,"6' 3""",210 lbs,1,Marshall,Bills
3,Corey Bojorquez9,P,23,"6' 0""",208 lbs,3,New Mexico,Bills
4,Reid Ferguson69,LS,26,"6' 2""",235 lbs,4,LSU,Bills
5,Jason Sanders7,PK,24,"5' 11""",186 lbs,3,New Mexico,Dolphins
6,Matt Haack2,P,25,"6' 0""",205 lbs,4,Arizona State,Dolphins
7,Blake Ferguson48,LS,23,"6' 3""",227 lbs,R,LSU,Dolphins
8,Taybor Pepper46,LS,25,"6' 4""",245 lbs,2,Michigan State,Dolphins
9,Justin Rohrwasser16,PK,--,"6' 3""",230 lbs,R,Marshall,Patriots
10,Jake Bailey7,P,22,"6' 2""",205 lbs,2,Stanford,Patriots
11,Joe Cardona49,LS,28,"6' 3""",245 lbs,6,Navy,Patriots
12,Sam Ficken9,PK,27,"6' 1""",192 lbs,2,Penn State,Jets
13,Brett Maher2,PK,30,"6' 0""",190 lbs,3,Nebraska,Jets
14,Ian Berryman8,P,23,"6' 0""",200 lbs,1,Western Carolina,Jets
15,Braden Mann34,P,22,"5' 11""",195 lbs,R,Texas A&M,Jets
16,Thomas Hennessy42,LS,25,"6' 2""",246 lbs,4,Duke,Jets
17,Justin Tucker9,PK,30,"6' 1""",183 lbs,9,Texas,Ravens
18,Nick Vogel,PK,--,"5' 10""",190 lbs,R,UAB,Ravens
19,Sam Koch4,P,37,"6' 1""",222 lbs,15,Nebraska,Ravens
20,Dom Maggio,P,--,"6' 3""",190 lbs,R,Wake Forest,Ravens
21,Morgan Cox46,LS,34,"6' 4""",235 lbs,11,Tennessee,Ravens
22,Nick Moore42,LS,27,"6' 2""",248 lbs,1,Georgia,Ravens
23,Randy Bullock4,PK,30,"5' 9""",210 lbs,9,Texas A&M,Bengals
24,Kevin Huber10,P,34,"6' 1""",210 lbs,12,Cincinnati,Bengals
25,Dan Godsil84,LS,23,"6' 3""",218 lbs,1,Indiana,Bengals
26,Clark Harris46,LS,35,"6' 5""",250 lbs,12,Rutgers,Bengals
27,Austin Seibert4,PK,23,"5' 9""",211 lbs,2,Oklahoma,Browns
28,Jamie Gillan7,P,22,"6' 1""",207 lbs,2,Arkansas-Pine Bluff,Browns
29,Charley Hughlett47,LS,29,"6' 4""",248 lbs,6,UCF,Browns
30,Chris Boswell9,PK,29,"6' 2""",185 lbs,6,Rice,Steelers
31,Jordan Berry4,P,29,"6' 5""",195 lbs,6,Eastern Kentucky,Steelers
32,Corliss Waitman87,P,24,"6' 2""",210 lbs,R,South Alabama,Steelers
33,Kameron Canaday57,LS,27,"6' 4""",245 lbs,4,Portland State,Steelers
34,Ka'imi Fairbairn7,PK,26,"6' 0""",183 lbs,5,UCLA,Texans
35,Bryan Anger9,P,31,"6' 3""",205 lbs,9,California,Texans
36,Anthony Kukwa42,LS,27,"6' 3""",221 lbs,R,--,Texans
37,Jon Weeks46,LS,34,"5' 10""",242 lbs,11,Baylor,Texans
38,Rodrigo Blankenship3,PK,23,"6' 1""",187 lbs,R,Georgia,Colts
39,Chase McLaughlin5,PK,24,"6' 1""",175 lbs,2,Illinois,Colts
40,Rigoberto Sanchez8,P,25,"6' 0""",195 lbs,4,Hawai'i',Colts
41,Luke Rhodes46,LS,27,"6' 2""",238 lbs,4,William & Mary,Colts
42,Josh Lambo4,PK,29,"6' 0""",215 lbs,6,Texas A&M,Jaguars
43,Logan Cooke9,P,24,"6' 5""",230 lbs,3,Mississippi State,Jaguars
44,Brandon Wright2,P,23,"5' 10""",182 lbs,R,Georgia State,Jaguars
45,Ross Matiscik,LS,--,"6' 0""",235 lbs,R,Baylor,Jaguars
46,Matthew Orzech46,LS,25,"6' 3""",245 lbs,2,Azusa Pacific,Jaguars
47,Greg Joseph7,PK,25,"6' 0""",208 lbs,2,Florida Atlantic,Titans
48,Tucker McCann,PK,--,"6' 2""",215 lbs,R,Missouri,Titans
49,Brett Kern6,P,34,"6' 2""",214 lbs,13,Toledo,Titans
50,Beau Brinkley48,LS,30,"6' 4""",260 lbs,9,Missouri,Titans
51,Brandon McManus8,PK,28,"6' 3""",201 lbs,7,Temple,Broncos
52,Sam Martin5,P,30,"6' 1""",211 lbs,8,Appalachian State,Broncos
53,Jacob Bobenmoyer46,LS,--,"6' 2""",238 lbs,R,Northern Colorado,Broncos
54,Wes Farnsworth42,LS,23,"6' 1""",230 lbs,1,Nevada,Broncos
55,Harrison Butker7,PK,24,"6' 4""",205 lbs,4,Georgia Tech,Chiefs
56,Tyler Newsome6,P,24,"6' 3""",213 lbs,1,Notre Dame,Chiefs
57,Tommy Townsend,P,23,"6' 2""",176 lbs,R,Florida,Chiefs
58,James Winchester41,LS,30,"6' 3""",240 lbs,6,Oklahoma,Chiefs
59,Daniel Carlson8,PK,25,"6' 5""",215 lbs,3,Auburn,Raiders
60,Dominik Eberle62,PK,--,"6' 2""",190 lbs,R,Utah State,Raiders
61,AJ Cole6,P,24,"6' 4""",220 lbs,2,North Carolina State,Raiders
