,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
1003,Tom Brady,"6' 4""",70%,225 lbs,60%,5.28 sec,3%,4.38 sec,46%,7.20 sec,25%,24.5 in,6%,99 in,7%,NaN,NaN,NaN,NaN,NaN,NaN
1254,Drew Brees,"6' 0""",5%,209 lbs,9%,4.83 sec,47%,4.21 sec,73%,7.09 sec,48%,32.0 in,60%,105 in,20%,NaN,NaN,NaN,NaN,NaN,NaN
1289,Will Allen,"5' 10""",20%,192 lbs,50%,4.58 sec,20%,4.25 sec,28%,7.06 sec,13%,36.0 in,60%,115 in,15%,NaN,NaN,NaN,NaN,NaN,NaN
1297,Reggie Wayne,"6' 0""",30%,203 lbs,48%,4.45 sec,70%,NaN,NaN,NaN,NaN,36.0 in,60%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338,Steve Smith,"5' 9""",8%,195 lbs,34%,4.44 sec,72%,4.19 sec,60%,6.68 sec,85%,38.0 in,83%,120 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
2068,Terrell Suggs,"6' 3""",20%,265 lbs,47%,4.84 sec,45%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2075,Terence Newman,"5' 10""",20%,197 lbs,70%,4.37 sec,90%,3.83 sec,99%,6.88 sec,39%,41.0 in,92%,136 in,99%,10 reps,10%,NaN,NaN,NaN,NaN
2095,Andre Johnson,"6' 3""",80%,229 lbs,94%,4.41 sec,80%,4.10 sec,82%,NaN,NaN,41.0 in,95%,129 in,92%,NaN,NaN,NaN,NaN,NaN,NaN
2101,Kevin Williams,"6' 5""",90%,311 lbs,71%,4.81 sec,96%,5.04 sec,6%,7.66 sec,29%,30.0 in,60%,112 in,88%,23 reps,15%,NaN,NaN,NaN,NaN
2113,Calvin Pace,"6' 4""",90%,265 lbs,97%,4.79 sec,29%,NaN,NaN,NaN,NaN,33.0 in,40%,115 in,45%,NaN,NaN,NaN,NaN,NaN,NaN
2118,Dallas Clark,"6' 3""",10%,257 lbs,63%,NaN,NaN,NaN,NaN,NaN,NaN,37.5 in,90%,123 in,91%,NaN,NaN,NaN,NaN,NaN,NaN
2141,Anquan Boldin,"6' 1""",40%,220 lbs,87%,4.72 sec,4%,4.33 sec,28%,7.35 sec,3%,33.5 in,30%,114 in,10%,NaN,NaN,NaN,NaN,NaN,NaN
2153,Jason Witten,"6' 6""",80%,263 lbs,84%,4.65 sec,75%,NaN,NaN,NaN,NaN,31.0 in,30%,NaN,NaN,25 reps,83%,NaN,NaN,NaN,NaN
2154,Nate Burleson,"6' 0""",30%,198 lbs,40%,4.51 sec,47%,4.16 sec,68%,6.96 sec,38%,42.5 in,99%,126 in,85%,NaN,NaN,NaN,NaN,NaN,NaN
2220,Tony Romo,"6' 2""",30%,230 lbs,73%,5.01 sec,15%,4.20 sec,74%,7.11 sec,44%,30.0 in,35%,105 in,20%,NaN,NaN,NaN,NaN,NaN,NaN
2797,Larry Fitzgerald,"6' 3""",80%,218 lbs,84%,4.48 sec,60%,4.28 sec,37%,6.94 sec,42%,38.0 in,83%,NaN,NaN,NaN,NaN,10.50 in,97%,NaN,NaN
2801,Mike Williams,"6' 5""",93%,229 lbs,94%,4.53 sec,40%,4.31 sec,32%,6.90 sec,50%,33.5 in,30%,116 in,25%,8 reps,7%,NaN,NaN,NaN,NaN
2806,Kellen Winslow,"6' 4""",30%,240 lbs,9%,4.55 sec,88%,4.10 sec,95%,6.71 sec,100%,33.5 in,60%,121 in,87%,24 reps,80%,NaN,NaN,NaN,NaN
2823,Steven Jackson,"6' 2""",93%,240 lbs,93%,4.55 sec,47%,4.09 sec,90%,7.03 sec,44%,37.5 in,87%,117 in,45%,16 reps,15%,NaN,NaN,NaN,NaN
2831,Ben Roethlisberger,"6' 5""",80%,240 lbs,91%,4.75 sec,65%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
