,Stephen Hauschka PK,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team,Jason Sanders PK,Nick Folk PK,Sam Ficken PK,Justin Tucker PK,Randy Bullock PK,Austin Seibert PK,Chris Boswell PK,Ka'imi Fairbairn PK,Adam Vinatieri PK,Josh Lambo PK,Derrick Henry RB,Brandon McManus PK,Harrison Butker PK,Daniel Carlson PK,Austin Ekeler RB,Brett Maher PK,Aldrick Rosas PK,Jake Elliott PK,Dustin Hopkins PK,Eddy Pineiro PK,Matt Prater PK,Aaron Jones RB,Dan Bailey PK,Younghoe Koo PK,Christian McCaffrey RB,Wil Lutz PK,Matt Gay PK,Zane Gonzalez PK,Greg Zuerlein PK,Robbie Gould PK,Jason Myers PK
0,Josh Allen QB,16,0,0,0,0,22,30,0,96,6.0,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cole Beasley WR,16,9,0,0,9,0,0,1,56,3.5,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,John Brown WR,15,0,6,0,6,0,0,2,40,2.7,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Devin Singletary RB,15,0,6,0,6,0,0,0,36,2.4,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Frank Gore RB,12,2,2,0,4,0,0,0,24,2.0,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dawson Knox TE,16,2,0,0,2,0,0,0,12,0.8,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lee Smith TE,15,0,2,0,2,0,0,0,12,0.8,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dion Dawkins OT,16,0,1,0,1,0,0,0,6,0.4,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Duke Williams WR,16,0,1,0,1,0,0,0,6,0.4,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tyler Kroft TE,4,0,1,0,1,0,0,0,6,1.5,Scoring,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
