,Name,"('Unnamed: 0_level_0', 'GP')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'SCKYDS')","('Sacks', 'TFL')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Fumbles', 'FF')","('Fumbles', 'FR')","('Fumbles', 'FTD')","('Unnamed: 15_level_0', 'KB')",class,team
0,Tremaine Edmunds LB,16,66,49,115,1.5,11,11.5,9,1,0,0,0,0,0,0,0,Defense,Bills
1,Tremaine Edmunds LB,16,71,36,107,1.0,5,5.5,3,2,0,0,0,3,3,0,0,Defense,Bills
2,Tremaine Edmunds LB,15,65,36,101,1.5,12,9.5,9,0,0,0,0,1,1,0,0,Defense,Bills
3,Tremaine Edmunds LB,16,66,10,76,0.0,0,4.0,9,2,2,2,0,0,0,0,0,Defense,Bills
4,Tremaine Edmunds LB,16,50,22,72,0.0,0,1.5,2,1,0,0,0,2,1,0,0,Defense,Bills
5,Tremaine Edmunds LB,15,48,10,58,1.0,9,4.5,17,6,57,49,0,2,0,0,0,Defense,Bills
6,Tremaine Edmunds LB,16,35,20,55,2.0,13,5.0,9,0,0,0,0,1,0,0,0,Defense,Bills
7,Tremaine Edmunds LB,12,39,11,50,1.0,7,2.0,5,0,0,0,0,1,0,0,0,Defense,Bills
8,Tremaine Edmunds LB,16,24,19,43,5.0,39,7.0,2,0,0,0,0,1,0,0,0,Defense,Bills
9,Tremaine Edmunds LB,16,25,11,36,1.0,2,1.5,5,0,0,0,0,0,0,0,0,Defense,Bills
10,Tremaine Edmunds LB,15,28,8,36,0.0,0,3.5,0,0,0,0,0,1,0,0,0,Defense,Bills
11,Tremaine Edmunds LB,16,24,12,36,5.0,32,8.0,3,1,0,0,0,2,2,0,0,Defense,Bills
12,Tremaine Edmunds LB,15,21,11,32,6.5,49,17.0,2,0,0,0,0,1,0,0,0,Defense,Bills
13,Tremaine Edmunds LB,16,25,6,31,9.5,71,15.0,0,0,0,0,0,1,0,0,0,Defense,Bills
14,Tremaine Edmunds LB,16,14,9,23,4.5,27,7.0,3,0,0,0,0,0,1,0,0,Defense,Bills
15,Tremaine Edmunds LB,16,12,7,19,2.0,4,3.5,1,1,0,0,0,0,0,0,1,Defense,Bills
16,Tremaine Edmunds LB,16,10,5,15,1.0,4,2.5,0,0,0,0,0,0,0,0,1,Defense,Bills
17,Tremaine Edmunds LB,7,8,3,11,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
18,Tremaine Edmunds LB,9,10,1,11,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Bills
19,Tremaine Edmunds LB,7,7,3,10,1.0,6,5.0,0,0,0,0,0,0,0,0,0,Defense,Bills
20,Tremaine Edmunds LB,16,6,2,8,0.0,0,0.0,0,0,0,0,0,0,1,0,0,Defense,Bills
21,Tremaine Edmunds LB,13,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
22,Tremaine Edmunds LB,12,4,3,7,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Bills
23,Tremaine Edmunds LB,11,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
24,Tremaine Edmunds LB,3,6,0,6,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Defense,Bills
25,Tremaine Edmunds LB,13,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
26,Tremaine Edmunds LB,4,1,3,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
27,Tremaine Edmunds LB,14,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
28,Tremaine Edmunds LB,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
29,Tremaine Edmunds LB,3,1,2,3,0.5,4,0.5,2,0,0,0,0,0,0,0,0,Defense,Bills
30,Tremaine Edmunds LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
31,Tremaine Edmunds LB,5,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
32,Tremaine Edmunds LB,6,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
33,Tremaine Edmunds LB,14,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
34,Tremaine Edmunds LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
35,Tremaine Edmunds LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
36,Tremaine Edmunds LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
37,Tremaine Edmunds LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills
38,Jerome Baker LB,16,76,50,126,1.5,13,6.5,4,1,34,34,0,2,0,0,0,Defense,Dolphins
39,Jerome Baker LB,16,54,27,81,0.0,0,1.0,8,1,35,35,1,1,0,0,0,Defense,Dolphins
40,Jerome Baker LB,16,33,42,75,2.0,9,5.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins
41,Jerome Baker LB,13,35,37,72,0.0,0,2.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins
42,Jerome Baker LB,15,27,32,59,2.5,18,6.0,1,1,7,7,0,0,0,0,0,Defense,Dolphins
43,Jerome Baker LB,14,39,19,58,0.0,0,2.5,6,1,0,0,0,0,0,0,0,Defense,Dolphins
44,Jerome Baker LB,16,30,26,56,2.0,14,4.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins
45,Jerome Baker LB,12,41,13,54,1.0,7,1.0,11,2,23,23,0,1,0,0,0,Defense,Dolphins
46,Jerome Baker LB,16,22,20,42,3.5,22,7.0,1,0,0,0,0,0,1,0,0,Defense,Dolphins
47,Jerome Baker LB,16,20,14,34,1.0,7,2.5,1,0,0,0,0,0,0,0,0,Defense,Dolphins
48,Jerome Baker LB,4,17,10,27,0.0,0,2.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins
49,Jerome Baker LB,9,19,6,25,0.0,0,0.0,3,2,53,32,0,0,0,0,0,Defense,Dolphins
50,Jerome Baker LB,11,11,14,25,0.0,0,0.0,0,0,0,0,0,1,0,0,0,Defense,Dolphins
51,Jerome Baker LB,8,19,5,24,0.0,0,1.0,5,1,3,3,0,0,0,0,0,Defense,Dolphins
52,Jerome Baker LB,14,11,12,23,0.5,3,2.5,0,0,0,0,0,0,0,0,0,Defense,Dolphins
53,Jerome Baker LB,6,16,6,22,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins
54,Jerome Baker LB,11,16,6,22,1.5,10,1.5,0,0,0,0,0,1,0,0,0,Defense,Dolphins
55,Jerome Baker LB,15,15,6,21,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins
56,Jerome Baker LB,10,14,7,21,5.0,34,5.5,0,0,0,0,0,2,0,0,0,Defense,Dolphins
57,Jerome Baker LB,14,15,5,20,0.0,0,0.0,3,2,35,35,0,0,0,0,0,Defense,Dolphins
58,Jerome Baker LB,8,17,2,19,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins
59,Jerome Baker LB,5,12,5,17,0.0,0,0.0,4,1,0,0,0,0,0,0,0,Defense,Dolphins
60,Jerome Baker LB,6,11,4,15,1.0,8,4.0,0,0,0,0,0,0,1,0,0,Defense,Dolphins
61,Jerome Baker LB,12,8,5,13,0.0,0,0.0,3,1,0,0,0,0,0,0,0,Defense,Dolphins
62,Jerome Baker LB,2,8,4,12,0.0,0,0.0,0,0,0,0,0,1,1,0,0,Defense,Dolphins
63,Jerome Baker LB,3,10,1,11,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins
64,Jerome Baker LB,3,3,5,8,1.0,8,1.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins
65,Jerome Baker LB,16,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
66,Jerome Baker LB,4,6,2,8,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins
67,Jerome Baker LB,2,5,2,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
68,Jerome Baker LB,2,4,3,7,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins
69,Jerome Baker LB,15,5,1,6,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
70,Jerome Baker LB,4,6,0,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
71,Jerome Baker LB,4,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
72,Jerome Baker LB,1,1,3,4,0.5,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
73,Jerome Baker LB,16,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
74,Jerome Baker LB,3,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
75,Jerome Baker LB,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
76,Jerome Baker LB,8,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
77,Jerome Baker LB,10,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
78,Jerome Baker LB,1,1,2,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
79,Jerome Baker LB,14,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
80,Jerome Baker LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
81,Jerome Baker LB,8,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
82,Jerome Baker LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
83,Jerome Baker LB,2,0,2,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
84,Jerome Baker LB,4,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
85,Jerome Baker LB,16,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
86,Jerome Baker LB,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
87,Jerome Baker LB,3,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
88,Jerome Baker LB,3,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
89,Jerome Baker LB,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
90,Jerome Baker LB,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
91,Jerome Baker LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Dolphins
92,Jamie Collins Sr. LB,16,58,23,81,7.0,54,14.0,7,3,85,69,1,3,1,0,0,Defense,Patriots
93,Jamie Collins Sr. LB,15,47,24,71,5.5,42,9.5,4,0,0,0,0,0,1,1,0,Defense,Patriots
94,Jamie Collins Sr. LB,16,35,26,61,3.0,21,6.0,1,1,5,5,0,0,2,0,0,Defense,Patriots
95,Jamie Collins Sr. LB,16,30,31,61,3.0,24,3.5,0,0,0,0,0,1,0,0,0,Defense,Patriots
96,Jamie Collins Sr. LB,16,46,12,58,0.0,0,1.5,7,5,49,24,0,2,1,0,0,Defense,Patriots
97,Jamie Collins Sr. LB,15,41,15,56,6.5,42,9.0,3,0,0,0,0,3,2,1,0,Defense,Patriots
98,Jamie Collins Sr. LB,15,38,15,53,0.0,0,0.0,8,0,0,0,0,2,0,0,0,Defense,Patriots
99,Jamie Collins Sr. LB,16,44,9,53,0.0,0,0.0,20,6,126,64,2,0,1,0,0,Defense,Patriots
100,Jamie Collins Sr. LB,13,38,13,51,0.0,0,1.0,3,0,0,0,0,0,0,0,0,Defense,Patriots
101,Jamie Collins Sr. LB,16,28,16,44,4.0,24,5.5,4,1,6,6,0,1,0,0,0,Defense,Patriots
102,Jamie Collins Sr. LB,16,29,15,44,0.0,0,2.5,1,0,0,0,0,0,0,0,0,Defense,Patriots
103,Jamie Collins Sr. LB,12,31,9,40,0.0,0,0.0,6,1,16,16,0,0,0,0,0,Defense,Patriots
104,Jamie Collins Sr. LB,16,29,7,36,0.0,0,0.0,10,5,39,19,0,0,0,0,1,Defense,Patriots
105,Jamie Collins Sr. LB,16,18,11,29,1.0,11,1.5,1,0,0,0,0,0,0,0,0,Defense,Patriots
106,Jamie Collins Sr. LB,16,17,9,26,6.0,35,8.0,5,0,0,0,0,0,0,0,0,Defense,Patriots
107,Jamie Collins Sr. LB,14,20,6,26,2.0,12,3.0,0,0,0,0,0,1,0,0,0,Defense,Patriots
108,Jamie Collins Sr. LB,16,17,9,26,5.5,37,5.5,0,0,0,0,0,0,0,0,0,Defense,Patriots
109,Jamie Collins Sr. LB,15,17,7,24,0.0,0,0.5,3,1,0,0,0,0,0,0,0,Defense,Patriots
110,Jamie Collins Sr. LB,16,19,3,22,0.0,0,1.5,5,2,27,27,0,0,0,0,0,Defense,Patriots
111,Jamie Collins Sr. LB,16,7,3,10,0.0,0,0.0,0,0,0,0,0,0,1,0,1,Defense,Patriots
112,Jamie Collins Sr. LB,15,6,3,9,0.0,0,1.0,0,0,0,0,0,1,0,0,0,Defense,Patriots
113,Jamie Collins Sr. LB,14,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,1,Defense,Patriots
114,Jamie Collins Sr. LB,15,7,0,7,0.0,0,0.0,0,0,0,0,0,1,0,0,1,Defense,Patriots
115,Jamie Collins Sr. LB,9,5,1,6,0.0,0,0.0,0,0,0,0,0,0,2,0,0,Defense,Patriots
116,Jamie Collins Sr. LB,6,4,1,5,2.5,22,2.5,0,0,0,0,0,0,0,0,0,Defense,Patriots
117,Jamie Collins Sr. LB,13,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
118,Jamie Collins Sr. LB,9,4,1,5,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Patriots
119,Jamie Collins Sr. LB,4,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
120,Jamie Collins Sr. LB,16,0,2,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
121,Jamie Collins Sr. LB,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
122,Jamie Collins Sr. LB,5,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
123,Jamie Collins Sr. LB,3,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
124,Jamie Collins Sr. LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
125,Jamie Collins Sr. LB,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
126,Jamie Collins Sr. LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
127,Jamie Collins Sr. LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
128,Jamie Collins Sr. LB,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
129,Jamie Collins Sr. LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
130,Jamie Collins Sr. LB,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Patriots
131,James Burgess LB,10,51,29,80,0.5,5,9.5,5,1,2,2,0,1,1,0,0,Defense,Jets
132,James Burgess LB,12,44,31,75,3.0,18,6.0,5,2,13,9,0,0,0,0,0,Defense,Jets
133,James Burgess LB,14,61,14,75,6.5,45,13.5,7,1,61,61,1,2,1,1,0,Defense,Jets
134,James Burgess LB,16,50,15,65,0.0,0,1.0,7,1,0,0,0,0,0,0,0,Defense,Jets
135,James Burgess LB,13,58,5,63,0.0,0,2.0,6,1,13,13,0,0,0,0,0,Defense,Jets
136,James Burgess LB,14,48,11,59,0.0,0,4.5,5,1,15,15,1,1,0,0,0,Defense,Jets
137,James Burgess LB,12,27,15,42,1.5,8,6.5,2,0,0,0,0,1,0,0,0,Defense,Jets
138,James Burgess LB,7,27,13,40,0.5,4,4.0,1,0,0,0,0,0,1,0,0,Defense,Jets
139,James Burgess LB,15,21,18,39,1.5,5,9.0,1,0,0,0,0,0,0,0,0,Defense,Jets
140,James Burgess LB,12,26,12,38,0.0,0,4.5,2,1,13,13,0,0,1,1,0,Defense,Jets
141,James Burgess LB,16,21,15,36,2.5,23,10.0,0,0,0,0,0,0,1,0,0,Defense,Jets
142,James Burgess LB,16,18,15,33,2.0,10,4.0,6,1,1,1,0,0,1,0,1,Defense,Jets
143,James Burgess LB,14,21,11,32,8.0,42,12.0,3,0,0,0,0,2,0,0,0,Defense,Jets
144,James Burgess LB,13,15,13,28,2.5,16,6.0,1,0,0,0,0,0,1,0,0,Defense,Jets
145,James Burgess LB,14,14,13,27,1.0,5,8.0,1,0,0,0,0,0,0,0,0,Defense,Jets
146,James Burgess LB,7,22,3,25,0.0,0,1.0,2,1,3,3,0,0,0,0,0,Defense,Jets
147,James Burgess LB,7,19,6,25,0.0,0,0.0,4,0,0,0,0,1,0,0,0,Defense,Jets
148,James Burgess LB,13,14,11,25,1.0,3,2.0,0,0,0,0,0,0,0,0,0,Defense,Jets
149,James Burgess LB,8,18,7,25,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Defense,Jets
150,James Burgess LB,11,21,3,24,0.0,0,2.0,3,1,0,0,0,0,0,0,0,Defense,Jets
151,James Burgess LB,7,8,12,20,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Defense,Jets
152,James Burgess LB,16,10,6,16,0.0,0,1.5,1,0,0,0,0,0,0,0,0,Defense,Jets
153,James Burgess LB,13,10,2,12,1.0,9,1.0,0,0,0,0,0,0,0,0,0,Defense,Jets
154,James Burgess LB,9,6,5,11,2.0,23,5.0,0,0,0,0,0,0,0,0,0,Defense,Jets
155,James Burgess LB,5,5,4,9,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
156,James Burgess LB,2,4,5,9,0.0,0,0.0,2,1,17,17,1,0,1,0,0,Defense,Jets
157,James Burgess LB,9,4,3,7,1.0,1,1.5,0,0,0,0,0,1,0,0,0,Defense,Jets
158,James Burgess LB,7,3,4,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
159,James Burgess LB,13,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
160,James Burgess LB,13,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
161,James Burgess LB,16,4,2,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
162,James Burgess LB,8,3,2,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
163,James Burgess LB,3,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
164,James Burgess LB,16,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
165,James Burgess LB,16,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
166,James Burgess LB,7,1,2,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
167,James Burgess LB,13,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
168,James Burgess LB,4,1,2,3,0.0,0,0.0,0,0,0,0,0,0,1,0,0,Defense,Jets
169,James Burgess LB,16,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
170,James Burgess LB,3,2,1,3,0.5,4,0.5,0,0,0,0,0,0,0,0,0,Defense,Jets
171,James Burgess LB,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
172,James Burgess LB,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
173,James Burgess LB,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
174,James Burgess LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,1,0,0,0,Defense,Jets
175,James Burgess LB,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
176,James Burgess LB,13,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
177,James Burgess LB,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
178,James Burgess LB,15,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
179,James Burgess LB,3,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
180,James Burgess LB,2,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets
181,Chuck Clark S,16,45,28,73,1.0,8,3.5,9,1,12,12,0,2,0,0,0,Defense,Ravens
182,Chuck Clark S,16,53,12,65,0.0,0,5.0,14,3,14,14,0,2,3,2,1,Defense,Ravens
183,Chuck Clark S,14,48,16,64,3.0,23,5.0,1,0,0,0,0,1,0,0,0,Defense,Ravens
184,Chuck Clark S,16,43,11,54,9.5,85,18.0,0,0,0,0,0,4,0,0,0,Defense,Ravens
185,Chuck Clark S,15,32,17,49,2.0,12,3.5,4,2,38,24,0,1,1,0,0,Defense,Ravens
