,Name,"('Unnamed: 0_level_0', 'GP')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'XP%')",class,team
0,Stephen Hauschka PK,16,22,28,78.6,51,0-0,5-5,7-8,9-10,1-5,30,32,93.8,Kicking,Bills
1,Jason Sanders PK,16,23,30,76.7,54,0-0,7-7,8-9,5-9,3-5,29,30,96.7,Kicking,Dolphins
2,Nick Folk PK,7,14,17,82.4,51,1-1,5-5,3-3,4-7,1-1,12,12,100.0,Kicking,Patriots
3,Stephen Gostkowski PK,4,7,8,87.5,41,0-0,3-3,3-3,1-2,0-0,11,15,73.3,Kicking,Patriots
4,Mike Nugent PK,4,5,8,62.5,37,0-0,3-4,2-3,0-1,0-0,15,16,93.8,Kicking,Patriots
5,Kai Forbath PK,1,1,1,100.0,23,0-0,1-1,0-0,0-0,0-0,1,2,50.0,Kicking,Patriots
6,Sam Ficken PK,15,19,27,70.4,54,0-0,2-2,7-8,7-11,3-6,23,26,88.5,Kicking,Jets
7,Justin Tucker PK,16,28,29,96.6,51,0-0,8-8,9-9,10-11,1-1,57,59,96.6,Kicking,Ravens
8,Randy Bullock PK,16,27,31,87.1,57,0-0,10-10,6-6,10-12,1-3,24,25,96.0,Kicking,Bengals
9,Austin Seibert PK,16,25,29,86.2,53,0-0,6-6,9-9,9-12,1-2,30,35,85.7,Kicking,Browns
10,Chris Boswell PK,16,29,31,93.5,51,1-1,11-11,7-7,9-10,1-2,28,28,100.0,Kicking,Steelers
11,Ka'imi Fairbairn PK,16,20,25,80.0,54,0-0,5-5,8-8,4-6,3-6,40,45,88.9,Kicking,Texans
12,Adam Vinatieri PK,12,17,25,68.0,55,0-0,6-7,6-6,3-7,2-5,22,28,78.6,Kicking,Colts
13,Chase McLaughlin PK,4,5,6,83.3,50,1-1,1-1,1-1,0-1,2-2,11,11,100.0,Kicking,Colts
14,Josh Lambo PK,16,33,34,97.1,56,0-0,12-12,9-9,8-9,4-4,19,20,95.0,Kicking,Jaguars
15,Cairo Santos PK,5,4,9,44.4,53,0-0,0-0,1-3,2-3,1-3,12,12,100.0,Kicking,Titans
16,Cody Parkey PK,3,3,3,100.0,51,0-0,0-0,0-0,2-2,1-1,5,6,83.3,Kicking,Titans
17,Ryan Succop PK,6,1,6,16.7,31,0-0,0-0,1-1,0-4,0-1,24,25,96.0,Kicking,Titans
18,Greg Joseph PK,2,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,9,9,100.0,Kicking,Titans
19,Brandon McManus PK,16,29,34,85.3,53,0-0,6-6,9-9,10-12,4-7,25,26,96.2,Kicking,Broncos
20,Harrison Butker PK,16,34,38,89.5,56,0-0,9-9,9-10,13-13,3-6,45,48,93.8,Kicking,Chiefs
21,Daniel Carlson PK,16,19,26,73.1,48,0-0,8-8,5-6,6-10,0-2,34,36,94.4,Kicking,Raiders
22,Michael Badgley PK,8,13,16,81.3,49,0-0,5-5,2-2,6-8,0-1,19,19,100.0,Kicking,Chargers
23,Ty Long P,16,7,9,77.8,51,0-0,0-0,2-3,4-5,1-1,9,9,100.0,Kicking,Chargers
24,Chase McLaughlin PK,4,6,9,66.7,50,0-0,2-2,2-2,1-4,1-1,7,7,100.0,Kicking,Chargers
25,Brett Maher PK,13,20,30,66.7,63,0-0,9-9,6-8,1-5,4-8,36,36,100.0,Kicking,Cowboys
26,Kai Forbath PK,3,10,10,100.0,50,0-0,1-1,1-1,7-7,1-1,10,10,100.0,Kicking,Cowboys
27,Aldrick Rosas PK,16,12,17,70.6,45,0-0,6-6,5-6,1-4,0-1,35,39,89.7,Kicking,Giants
