,Name,GP,PUNTS,YDS,LNG,AVG,NET,PBLK,IN20,TB,FC,ATT,YDS.1,AVG.1,class,team
0,Corey Bojorquez P,16,79,3313,67,41.9,37.7,1,34,7,26,18,157,8.7,Punting,Bills
1,Matt Haack P,16,69,3105,62,45.0,41.1,0,23,2,20,29,229,7.9,Punting,Dolphins
2,Jake Bailey P,16,81,3638,65,44.9,41.3,0,36,6,18,28,175,6.3,Punting,Patriots
3,Lachlan Edwards P,16,87,3991,63,45.9,41.6,0,28,3,13,44,309,7.0,Punting,Jets
4,Sam Koch P,16,40,1855,62,46.4,39.8,1,21,4,10,15,143,9.5,Punting,Ravens
5,Kevin Huber P,16,75,3394,63,45.3,42.1,0,30,5,30,24,136,5.7,Punting,Bengals
6,Jamie Gillan P,16,63,2913,71,46.2,41.6,1,28,5,18,20,151,7.6,Punting,Browns
7,Austin Seibert PK,16,1,37,37,37.0,37.0,0,1,0,0,0,0,0.0,Punting,Browns
8,Jordan Berry P,16,74,3368,69,45.5,40.9,0,24,4,24,29,265,9.1,Punting,Steelers
9,Bryan Anger P,14,45,2094,71,46.5,44.5,0,24,2,16,17,53,3.1,Punting,Texans
10,Trevor Daniel P,2,11,479,54,43.5,40.9,0,2,0,3,7,29,4.1,Punting,Texans
11,Ka'imi Fairbairn PK,16,1,26,26,26.0,26.0,0,1,0,0,0,0,0.0,Punting,Texans
12,Rigoberto Sanchez P,16,59,2619,60,44.4,41.2,0,22,1,15,28,166,5.9,Punting,Colts
13,Logan Cooke P,16,75,3507,66,46.8,44.5,0,25,2,26,24,127,5.3,Punting,Jaguars
14,Brett Kern P,16,78,3672,70,47.1,43.1,0,37,2,19,30,269,9.0,Punting,Titans
15,Colby Wadman P,16,78,3464,64,44.4,39.4,0,29,4,21,32,314,9.8,Punting,Broncos
16,Dustin Colquitt P,16,48,2126,68,44.3,40.3,1,21,3,14,19,89,4.7,Punting,Chiefs
17,AJ Cole P,16,67,3081,74,46.0,39.4,0,33,6,20,30,318,10.6,Punting,Raiders
18,Ty Long P,16,48,2256,60,47.0,40.9,0,17,2,8,33,252,7.6,Punting,Chargers
19,Chris Jones P,16,50,2079,58,41.6,37.0,1,18,2,18,18,154,8.6,Punting,Cowboys
20,Riley Dixon P,16,69,3178,62,46.1,42.3,2,29,2,17,24,136,5.7,Punting,Giants
21,Cameron Johnston P,16,71,3292,61,46.4,42.3,0,28,4,19,32,207,6.5,Punting,Eagles
22,Tress Way P,16,79,3919,79,49.6,44.1,0,30,4,19,39,354,9.1,Punting,Redskins
23,Pat O'Donnell P,16,80,3586,75,44.8,40.7,1,26,2,26,35,247,7.1,Punting,Bears
24,Sam Martin P,16,76,3445,62,45.3,41.8,0,31,7,22,29,130,4.5,Punting,Lions
25,JK Scott P,16,77,3386,66,44.0,39.9,0,29,4,25,26,233,9.0,Punting,Packers
26,Britton Colquitt P,16,62,2802,59,45.2,42.6,0,24,0,24,23,158,6.9,Punting,Vikings
27,Ryan Allen P,8,28,1172,59,41.9,37.5,0,14,3,8,8,62,7.8,Punting,Falcons
28,Matt Bosher P,3,9,377,52,41.9,36.7,1,2,0,7,2,10,5.0,Punting,Falcons
29,Kasey Redfern P,3,9,371,54,41.2,36.9,0,3,0,3,5,39,7.8,Punting,Falcons
30,Matt Wile P,2,6,290,60,48.3,44.7,0,3,0,0,4,22,5.5,Punting,Falcons
31,Michael Palardy P,16,75,3452,62,46.0,38.7,0,25,3,16,40,487,12.2,Punting,Panthers
32,Thomas Morstead P,16,60,2770,64,46.2,43.1,0,29,1,21,24,166,6.9,Punting,Saints
33,Bradley Pinion P,16,57,2464,63,43.2,38.3,0,19,3,18,25,222,8.9,Punting,Buccaneers
34,Andy Lee P,15,61,2913,64,47.8,41.2,1,21,4,15,31,278,9.0,Punting,Cardinals
35,Ryan Winslow P,2,6,291,55,48.5,44.2,0,2,1,0,4,6,1.5,Punting,Cardinals
36,Zane Gonzalez PK,16,2,84,44,42.0,42.0,0,0,0,1,0,0,0.0,Punting,Cardinals
37,Johnny Hekker P,16,66,3128,71,47.4,42.4,1,22,5,14,23,190,8.3,Punting,Rams
38,Mitch Wishnowsky P,16,52,2333,65,44.9,41.6,0,23,2,13,23,131,5.7,Punting,49ers
39,Michael Dickson P,16,74,3341,63,45.1,40.9,0,34,5,18,34,213,6.3,Punting,Seahawks
