,Name,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,class,team
0,John Brown WR,15,72,115,1060,14.7,6,53,17,70.7,0,0,217,53,Receiving,Bills
1,Cole Beasley WR,15,67,106,778,11.6,6,51,10,51.9,0,0,344,37,Receiving,Bills
2,Dawson Knox TE,15,28,50,388,13.9,2,49,7,25.9,0,0,149,15,Receiving,Bills
3,Isaiah McKenzie WR,15,27,39,254,9.4,1,46,3,16.9,0,0,207,12,Receiving,Bills
4,Devin Singletary RB,12,29,41,194,6.7,2,49,3,16.2,0,0,194,5,Receiving,Bills
5,Duke Williams WR,4,12,19,166,13.8,1,41,3,41.5,0,0,47,8,Receiving,Bills
6,T.J. Yeldon RB,6,13,15,124,9.5,0,23,1,20.7,0,0,122,6,Receiving,Bills
7,Tommy Sweeney TE,6,8,13,114,14.3,0,29,3,19.0,0,0,39,4,Receiving,Bills
8,Frank Gore RB,16,13,16,100,7.7,0,18,0,6.3,0,0,93,5,Receiving,Bills
9,Tyler Kroft TE,11,6,14,71,11.8,1,20,1,6.5,0,0,28,5,Receiving,Bills
10,Zay Jones WR,5,7,18,69,9.9,0,23,2,13.8,0,0,17,4,Receiving,Bills
11,Robert Foster WR,13,3,18,64,21.3,0,24,3,4.9,0,0,32,3,Receiving,Bills
12,Patrick DiMarco FB,16,5,7,41,8.2,0,27,1,2.6,0,0,31,1,Receiving,Bills
13,Lee Smith TE,16,4,5,31,7.8,1,9,0,1.9,0,0,8,2,Receiving,Bills
14,Andre Roberts WR,13,3,7,20,6.7,0,7,0,1.5,0,0,7,1,Receiving,Bills
15,Senorise Perry RB,11,1,1,1,1.0,0,1,0,0.1,0,0,1,0,Receiving,Bills
16,Dion Dawkins OT,16,1,1,1,1.0,1,1,0,0.1,0,0,0,1,Receiving,Bills
17,DeVante Parker WR,16,72,128,1202,16.7,9,51,21,75.1,0,0,291,58,Receiving,Dolphins
18,Mike Gesicki TE,16,51,89,570,11.2,5,34,7,35.6,1,1,195,25,Receiving,Dolphins
19,Preston Williams WR,8,32,60,428,13.4,3,35,6,53.5,2,1,71,24,Receiving,Dolphins
20,Allen Hurns WR,14,32,47,416,13.0,2,27,4,29.7,1,1,101,18,Receiving,Dolphins
21,Albert Wilson WR,13,43,62,351,8.2,1,35,4,27.0,0,0,181,22,Receiving,Dolphins
22,Isaiah Ford WR,8,23,35,244,10.6,0,28,2,30.5,0,0,86,16,Receiving,Dolphins
23,Patrick Laird RB,15,23,30,204,8.9,0,21,2,13.6,0,0,181,13,Receiving,Dolphins
24,Kenyan Drake RB,6,22,33,174,7.9,0,26,1,29.0,0,0,167,6,Receiving,Dolphins
25,Jakeem Grant WR,10,19,33,164,8.6,0,18,0,16.4,0,0,88,9,Receiving,Dolphins
26,Mark Walton RB,7,15,21,89,5.9,0,18,0,12.7,1,1,111,3,Receiving,Dolphins
27,Durham Smythe TE,16,7,14,65,9.3,0,24,1,4.1,0,0,18,2,Receiving,Dolphins
28,Kalen Ballage RB,12,14,24,63,4.5,0,13,0,5.3,0,0,88,4,Receiving,Dolphins
29,Clive Walford TE,7,4,8,57,14.3,0,19,0,8.1,0,0,26,4,Receiving,Dolphins
30,Myles Gaskin RB,7,7,12,51,7.3,0,20,1,7.3,0,0,49,2,Receiving,Dolphins
31,Nick O'Leary TE,7,4,5,37,9.3,0,19,0,5.3,1,0,21,2,Receiving,Dolphins
32,Christian Wilkins DT,16,1,1,1,1.0,1,1,0,0.1,1,0,0,1,Receiving,Dolphins
33,Jason Sanders PK,16,1,1,1,1.0,1,1,0,0.1,0,0,0,1,Receiving,Dolphins
34,Julian Edelman WR,16,100,153,1117,11.2,6,44,13,69.8,3,1,337,54,Receiving,Patriots
35,James White RB,15,72,95,645,9.0,5,59,9,43.0,0,0,541,31,Receiving,Patriots
36,Phillip Dorsett II WR,14,29,54,397,13.7,5,58,6,28.4,0,0,89,17,Receiving,Patriots
37,Jakobi Meyers WR,15,26,41,359,13.8,0,35,9,23.9,0,0,123,17,Receiving,Patriots
38,Josh Gordon WR,6,20,36,287,14.4,1,44,6,47.8,0,0,137,10,Receiving,Patriots
39,Rex Burkhead RB,13,27,38,279,10.3,0,32,4,21.5,1,1,237,10,Receiving,Patriots
40,Mohamed Sanu Sr. WR,8,26,47,207,8.0,1,22,1,25.9,0,0,69,14,Receiving,Patriots
41,Ben Watson TE,10,17,24,173,10.2,0,26,3,17.3,0,0,94,9,Receiving,Patriots
42,Matt LaCosse TE,11,13,19,131,10.1,1,24,3,11.9,0,0,51,6,Receiving,Patriots
43,Ryan Izzo TE,6,6,9,114,19.0,1,41,3,19.0,0,0,54,4,Receiving,Patriots
44,Brandon Bolden RB,15,9,11,111,12.3,1,29,2,7.4,0,0,60,6,Receiving,Patriots
45,N'Keal Harry WR,7,12,24,105,8.8,2,18,0,15.0,0,0,45,7,Receiving,Patriots
46,Sony Michel RB,16,12,20,94,7.8,0,19,0,5.9,0,0,122,7,Receiving,Patriots
47,Antonio Brown WR,1,4,8,56,14.0,1,20,1,56.0,0,0,7,3,Receiving,Patriots
48,Elandon Roberts LB,16,1,1,38,38.0,1,38,1,2.4,0,0,32,1,Receiving,Patriots
