,Name,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team
0,Stephen Hauschka PK,16,0,0,0,0,22,30,0,96,6.0,Scoring,Bills
1,Josh Allen QB,16,9,0,0,9,0,0,1,56,3.5,Scoring,Bills
2,Cole Beasley WR,15,0,6,0,6,0,0,2,40,2.7,Scoring,Bills
3,John Brown WR,15,0,6,0,6,0,0,0,36,2.4,Scoring,Bills
4,Devin Singletary RB,12,2,2,0,4,0,0,0,24,2.0,Scoring,Bills
5,Frank Gore RB,16,2,0,0,2,0,0,0,12,0.8,Scoring,Bills
6,Dawson Knox TE,15,0,2,0,2,0,0,0,12,0.8,Scoring,Bills
7,Lee Smith TE,16,0,1,0,1,0,0,0,6,0.4,Scoring,Bills
8,Dion Dawkins OT,16,0,1,0,1,0,0,0,6,0.4,Scoring,Bills
9,Duke Williams WR,4,0,1,0,1,0,0,0,6,1.5,Scoring,Bills
10,Tyler Kroft TE,11,0,1,0,1,0,0,0,6,0.5,Scoring,Bills
11,Isaiah McKenzie WR,15,0,1,0,1,0,0,0,6,0.4,Scoring,Bills
12,Micah Hyde S,16,0,0,1,1,0,0,0,6,0.4,Scoring,Bills
13,Tremaine Edmunds LB,16,0,0,0,0,0,0,0,2,0.1,Scoring,Bills
14,Jason Sanders PK,16,0,1,0,1,23,29,0,104,6.5,Scoring,Dolphins
15,DeVante Parker WR,16,0,9,0,9,0,0,0,54,3.4,Scoring,Dolphins
16,Mike Gesicki TE,16,0,5,0,5,0,0,0,30,1.9,Scoring,Dolphins
17,Ryan Fitzpatrick QB,15,4,0,0,4,0,0,0,24,1.6,Scoring,Dolphins
18,Preston Williams WR,8,0,3,0,3,0,0,0,18,2.3,Scoring,Dolphins
19,Kalen Ballage RB,12,3,0,0,3,0,0,0,18,1.5,Scoring,Dolphins
