,Team,City,stat_links,shedule_links,roster_links,depth_links
0,Bills,Buffalo,http://www.espn.com/nfl/team/stats/_/name/buf/buffalo-bills,http://www.espn.com/nfl/team/schedule/_/name/buf,http://www.espn.com/nfl/team/roster/_/name/buf/buffalo-bills,http://www.espn.com/nfl/team/depth/_/name/buf
1,Dolphins,Miami,http://www.espn.com/nfl/team/stats/_/name/mia/miami-dolphins,http://www.espn.com/nfl/team/schedule/_/name/mia,http://www.espn.com/nfl/team/roster/_/name/mia/miami-dolphins,http://www.espn.com/nfl/team/depth/_/name/mia
2,Patriots,New England,http://www.espn.com/nfl/team/stats/_/name/ne/new-england-patriots,http://www.espn.com/nfl/team/schedule/_/name/ne,http://www.espn.com/nfl/team/roster/_/name/ne/new-england-patriots,http://www.espn.com/nfl/team/depth/_/name/ne
3,Jets,New York,http://www.espn.com/nfl/team/stats/_/name/nyj/new-york-jets,http://www.espn.com/nfl/team/schedule/_/name/nyj,http://www.espn.com/nfl/team/roster/_/name/nyj/new-york-jets,http://www.espn.com/nfl/team/depth/_/name/nyj
4,Ravens,Baltimore,http://www.espn.com/nfl/team/stats/_/name/bal/baltimore-ravens,http://www.espn.com/nfl/team/schedule/_/name/bal,http://www.espn.com/nfl/team/roster/_/name/bal/baltimore-ravens,http://www.espn.com/nfl/team/depth/_/name/bal
5,Bengals,Cincinnati,http://www.espn.com/nfl/team/stats/_/name/cin/cincinnati-bengals,http://www.espn.com/nfl/team/schedule/_/name/cin,http://www.espn.com/nfl/team/roster/_/name/cin/cincinnati-bengals,http://www.espn.com/nfl/team/depth/_/name/cin
6,Browns,Cleveland,http://www.espn.com/nfl/team/stats/_/name/cle/cleveland-browns,http://www.espn.com/nfl/team/schedule/_/name/cle,http://www.espn.com/nfl/team/roster/_/name/cle/cleveland-browns,http://www.espn.com/nfl/team/depth/_/name/cle
7,Steelers,Pittsburgh,http://www.espn.com/nfl/team/stats/_/name/pit/pittsburgh-steelers,http://www.espn.com/nfl/team/schedule/_/name/pit,http://www.espn.com/nfl/team/roster/_/name/pit/pittsburgh-steelers,http://www.espn.com/nfl/team/depth/_/name/pit
8,Texans,Houston,http://www.espn.com/nfl/team/stats/_/name/hou/houston-texans,http://www.espn.com/nfl/team/schedule/_/name/hou,http://www.espn.com/nfl/team/roster/_/name/hou/houston-texans,http://www.espn.com/nfl/team/depth/_/name/hou
9,Colts,Indianapolis,http://www.espn.com/nfl/team/stats/_/name/ind/indianapolis-colts,http://www.espn.com/nfl/team/schedule/_/name/ind,http://www.espn.com/nfl/team/roster/_/name/ind/indianapolis-colts,http://www.espn.com/nfl/team/depth/_/name/ind
