,GP,TACKLES_SOLO,TACKLES_AST,TACKLES_TOT,SACKS,SACKS_SCKYDS,SACKS_TFL,INTERCEPTIONS_PD,INTERCEPTIONS_INT,INTERCEPTIONS_YDS,INTERCEPTIONS_LNG,INTERCEPTIONS_TD,FUMBLES_FF,FUMBLES_FR,FUMBLES_FTD,KB,PlayerID
0,16,66,49,115,1.5,11,11.5,9,1,0,0,0,0,0,0,0,Tremaine Edmunds49
1,16,71,36,107,1.0,5,5.5,3,2,0,0,0,3,3,0,0,Jordan Poyer21
2,15,65,36,101,1.5,12,9.5,9,0,0,0,0,1,1,0,0,Matt Milano58
3,16,66,10,76,0.0,0,4.0,9,2,2,2,0,0,0,0,0,Levi Wallace39
4,16,50,22,72,0.0,0,1.5,2,1,0,0,0,2,1,0,0,Micah Hyde23
5,15,48,10,58,1.0,9,4.5,17,6,57,49,0,2,0,0,0,Tre'Davious White27
6,12,39,11,50,1.0,7,2.0,5,0,0,0,0,1,0,0,0,Taron Johnson24
7,16,24,19,43,5.0,39,7.0,2,0,0,0,0,1,0,0,0,Ed Oliver91
8,16,25,11,36,1.0,2,1.5,5,0,0,0,0,0,0,0,0,Kevin Johnson29
9,16,24,12,36,5.0,32,8.0,3,1,0,0,0,2,2,0,0,Trent Murphy93
10,15,21,11,32,6.5,49,17.0,2,0,0,0,0,1,0,0,0,Shaq Lawson90
11,16,25,6,31,9.5,71,15.0,0,0,0,0,0,1,0,0,0,Jordan Phillips97
12,16,14,9,23,4.5,27,7.0,3,0,0,0,0,0,1,0,0,Jerry Hughes55
13,16,12,7,19,2.0,4,3.5,1,1,0,0,0,0,0,0,1,Star Lotulelei98
14,16,10,5,15,1.0,4,2.5,0,0,0,0,0,0,0,0,1,Darryl Johnson92
15,9,10,1,11,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Dean Marlowe31
16,13,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Jaquan Johnson46
17,12,4,3,7,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Corey Thompson52
18,11,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Senorise Perry
19,3,6,0,6,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Vincent Taylor96
20,13,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Robert Foster16
21,4,1,3,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Kyle Peko77
22,2,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Kyle Peko77
