,Rank,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,OWN,Year,TeamID
0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2013,ARI
1,1,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2014,ARI
2,1,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2015,ARI
3,1,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2016,ARI
4,1,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2017,ARI
5,19,49,7,9,13,2,0,0,16,100.0,6.3,1.2%,2018,ARI
6,29,40,7,10,19,0,0,0,16,68.0,4.3,1.2%,2019,ARI
7,2,0,0,0,0,0,0,0,0,0.0,0.0,73.1%,2013,MIN
8,2,0,0,0,0,0,0,0,0,0.0,0.0,73.1%,2014,MIN
9,2,0,0,0,0,0,0,0,0,0.0,0.0,73.1%,2015,MIN
10,2,0,0,0,0,0,0,0,0,0.0,0.0,73.1%,2016,MIN
11,2,0,0,0,0,0,0,0,0,0.0,0.0,73.1%,2017,MIN
12,6,50,12,8,7,3,0,0,16,124.0,7.8,73.1%,2018,MIN
13,6,48,17,14,18,2,1,0,16,142.0,8.9,73.1%,2019,MIN
14,3,0,0,0,0,0,0,0,0,0.0,0.0,6.9%,2013,TEN
15,3,0,0,0,0,0,0,0,0,0.0,0.0,6.9%,2014,TEN
16,3,0,0,0,0,0,0,0,0,0.0,0.0,6.9%,2015,TEN
17,3,0,0,0,0,0,0,0,0,0.0,0.0,6.9%,2016,TEN
18,3,0,0,0,0,0,0,0,0,0.0,0.0,6.9%,2017,TEN
19,12,39,11,6,10,2,0,1,16,113.0,7.1,6.9%,2018,TEN
20,11,43,14,9,10,3,1,1,16,131.0,8.2,6.9%,2019,TEN
21,4,0,0,0,0,0,0,0,0,0.0,0.0,23.4%,2013,TB
22,4,0,0,0,0,0,0,0,0,0.0,0.0,23.4%,2014,TB
23,4,0,0,0,0,0,0,0,0,0.0,0.0,23.4%,2015,TB
24,4,0,0,0,0,0,0,0,0,0.0,0.0,23.4%,2016,TB
25,4,0,0,0,0,0,0,0,0,0.0,0.0,23.4%,2017,TB
26,30,38,9,8,11,1,0,0,16,68.0,4.3,23.4%,2018,TB
27,10,47,12,16,20,6,0,0,16,134.0,8.4,23.4%,2019,TB
28,5,0,0,0,0,0,0,0,0,0.0,0.0,34.8%,2013,LAR
29,5,0,0,0,0,0,0,0,0,0.0,0.0,34.8%,2014,LAR
30,5,0,0,0,0,0,0,0,0,0.0,0.0,34.8%,2015,LAR
31,5,0,0,0,0,0,0,0,0,0.0,0.0,34.8%,2016,LAR
32,5,0,0,0,0,0,0,0,0,0.0,0.0,34.8%,2017,LAR
33,2,41,18,12,12,4,2,0,16,147.0,9.2,34.8%,2018,LAR
34,5,50,13,11,13,4,1,0,16,146.0,9.1,34.8%,2019,LAR
35,6,0,0,0,0,0,0,0,0,0.0,0.0,99.3%,2013,SF
36,6,0,0,0,0,0,0,0,0,0.0,0.0,99.3%,2014,SF
37,6,0,0,0,0,0,0,0,0,0.0,0.0,99.3%,2015,SF
38,6,0,0,0,0,0,0,0,0,0.0,0.0,99.3%,2016,SF
39,6,0,0,0,0,0,0,0,0,0.0,0.0,99.3%,2017,SF
40,31,37,2,5,8,1,1,1,16,53.0,3.3,99.3%,2018,SF
41,3,48,12,15,21,5,0,0,16,163.0,10.2,99.3%,2019,SF
42,7,0,0,0,0,0,0,0,0,0.0,0.0,5.7%,2013,SEA
43,7,0,0,0,0,0,0,0,0,0.0,0.0,5.7%,2014,SEA
44,7,0,0,0,0,0,0,0,0,0.0,0.0,5.7%,2015,SEA
45,7,0,0,0,0,0,0,0,0,0.0,0.0,5.7%,2016,SEA
46,7,0,0,0,0,0,0,0,0,0.0,0.0,5.7%,2017,SEA
47,9,43,12,14,17,2,0,0,16,122.0,7.6,5.7%,2018,SEA
48,13,28,16,16,18,3,0,0,16,118.0,7.4,5.7%,2019,SEA
49,8,0,0,0,0,0,0,0,0,0.0,0.0,15.2%,2013,LAC
50,8,0,0,0,0,0,0,0,0,0.0,0.0,15.2%,2014,LAC
51,8,0,0,0,0,0,0,0,0,0.0,0.0,15.2%,2015,LAC
52,8,0,0,0,0,0,0,0,0,0.0,0.0,15.2%,2016,LAC
53,8,0,0,0,0,0,0,0,0,0.0,0.0,15.2%,2017,LAC
54,17,38,13,7,5,2,0,1,16,107.0,6.7,15.2%,2018,LAC
55,27,30,11,3,5,0,0,1,16,76.0,4.8,15.2%,2019,LAC
56,9,0,0,0,0,0,0,0,0,0.0,0.0,98.6%,2013,PIT
57,9,0,0,0,0,0,0,0,0,0.0,0.0,98.6%,2014,PIT
58,9,0,0,0,0,0,0,0,0,0.0,0.0,98.6%,2015,PIT
59,9,0,0,0,0,0,0,0,0,0.0,0.0,98.6%,2016,PIT
60,9,0,0,0,0,0,0,0,0,0.0,0.0,98.6%,2017,PIT
61,13,52,8,7,11,3,2,0,16,110.0,6.9,98.6%,2018,PIT
62,2,54,20,18,19,3,0,1,16,173.0,10.8,98.6%,2019,PIT
63,10,0,0,0,0,0,0,0,0,0.0,0.0,5.2%,2013,PHI
