,GP,FGM,FGA,FG%,LNG,FG_01-19,FG_20-29,FG_30-39,FG_40-49,FG_50+,XPM,XPA,XP%,PlayerID
0,16,22,28,78.6,51,0-0,5-5,7-8,9-10,1-5,30,32,93.8,Stephen Hauschka4
1,16,23,30,76.7,54,0-0,7-7,8-9,5-9,3-5,29,30,96.7,Jason Sanders7
2,1,1,1,100.0,23,0-0,1-1,0-0,0-0,0-0,1,2,50.0,Kai Forbath3
3,3,10,10,100.0,50,0-0,1-1,1-1,7-7,1-1,10,10,100.0,Kai Forbath3
4,15,19,27,70.4,54,0-0,2-2,7-8,7-11,3-6,23,26,88.5,Sam Ficken9
5,16,28,29,96.6,51,0-0,8-8,9-9,10-11,1-1,57,59,96.6,Justin Tucker9
6,16,27,31,87.1,57,0-0,10-10,6-6,10-12,1-3,24,25,96.0,Randy Bullock4
7,16,25,29,86.2,53,0-0,6-6,9-9,9-12,1-2,30,35,85.7,Austin Seibert4
8,16,29,31,93.5,51,1-1,11-11,7-7,9-10,1-2,28,28,100.0,Chris Boswell9
9,16,20,25,80.0,54,0-0,5-5,8-8,4-6,3-6,40,45,88.9,Ka'imi Fairbairn7
10,4,5,6,83.3,50,1-1,1-1,1-1,0-1,2-2,11,11,100.0,Chase McLaughlin5
11,4,6,9,66.7,50,0-0,2-2,2-2,1-4,1-1,7,7,100.0,Chase McLaughlin5
12,3,7,8,87.5,48,0-0,2-2,1-1,4-5,0-0,8,8,100.0,Chase McLaughlin5
13,16,33,34,97.1,56,0-0,12-12,9-9,8-9,4-4,19,20,95.0,Josh Lambo4
14,2,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,9,9,100.0,Greg Joseph7
15,16,29,34,85.3,53,0-0,6-6,9-9,10-12,4-7,25,26,96.2,Brandon McManus8
16,16,34,38,89.5,56,0-0,9-9,9-10,13-13,3-6,45,48,93.8,Harrison Butker7
17,16,19,26,73.1,48,0-0,8-8,5-6,6-10,0-2,34,36,94.4,Daniel Carlson8
18,8,13,16,81.3,49,0-0,5-5,2-2,6-8,0-1,19,19,100.0,Michael Badgley4
19,16,7,9,77.8,51,0-0,0-0,2-3,4-5,1-1,9,9,100.0,Ty Long1
20,13,20,30,66.7,63,0-0,9-9,6-8,1-5,4-8,36,36,100.0,Brett Maher2
21,16,12,17,70.6,45,0-0,6-6,5-6,1-4,0-1,35,39,89.7,Aldrick Rosas2
22,16,22,26,84.6,53,0-0,7-7,8-8,5-7,2-4,35,37,94.6,Jake Elliott4
23,16,25,30,83.3,53,0-0,7-8,8-9,8-10,2-3,21,22,95.5,Dustin Hopkins3
24,16,23,28,82.1,53,1-1,8-8,9-10,3-7,2-2,27,29,93.1,Eddy Pineiro15
25,16,26,31,83.9,56,0-0,11-11,2-3,6-9,7-8,35,36,97.2,Matt Prater5
26,16,22,24,91.7,54,1-1,2-2,11-11,7-8,1-2,40,41,97.6,Mason Crosby2
27,16,27,29,93.1,50,0-0,10-10,9-9,5-7,3-3,40,44,90.9,Dan Bailey5
28,8,23,26,88.5,50,0-0,6-6,9-10,7-9,1-1,15,16,93.8,Younghoe Koo7
29,16,25,32,78.1,55,0-0,4-5,5-5,8-11,8-11,31,35,88.6,Joey Slye4
30,16,32,36,88.9,58,1-1,9-9,6-6,13-15,3-5,48,49,98.0,Wil Lutz3
31,16,27,35,77.1,58,0-0,6-6,5-7,11-14,5-8,43,48,89.6,Matt Gay9
32,16,31,35,88.6,54,0-0,12-12,12-13,5-8,2-2,34,35,97.1,Zane Gonzalez5
33,16,24,33,72.7,58,0-0,7-7,7-8,5-11,5-7,42,42,100.0,Greg Zuerlein2
34,13,23,31,74.2,47,0-0,9-9,8-10,6-8,0-4,41,42,97.6,Robbie Gould9
35,16,23,28,82.1,54,0-0,6-6,11-11,4-7,2-4,40,44,90.9,Jason Myers5
