,PlayerID,Height,Weight,Forty Yard Dash,Shuttle Time,Vertical Jump,Broad Jump,Bench Press,Cone Drill
0,Tom Brady12,"6' 4""",225 lbs,5.28 sec,4.38 sec,24.5 in,99 in,,7.20 sec
1,Drew Brees9,"6' 0""",209 lbs,4.83 sec,4.21 sec,32.0 in,105 in,,7.09 sec
2,Jason Witten82,"6' 6""",263 lbs,4.65 sec,,31.0 in,,25 reps,
3,Larry Fitzgerald11,"6' 3""",218 lbs,4.48 sec,4.28 sec,38.0 in,,,6.94 sec
4,Mike Williams81,"6' 5""",229 lbs,4.53 sec,4.31 sec,33.5 in,116 in,8 reps,6.90 sec
5,Mike Williams81,"6' 2""",212 lbs,4.53 sec,4.31 sec,33.5 in,116 in,8 reps,6.90 sec
6,Mike Williams81,"6' 4""",220 lbs,,,32.5 in,121 in,15 reps,
7,Ben Roethlisberger7,"6' 5""",240 lbs,4.75 sec,,,,,
8,Philip Rivers17,"6' 5""",228 lbs,5.08 sec,,,,,
9,Matt Schaub8,"6' 6""",245 lbs,5.04 sec,4.66 sec,30.5 in,110 in,,7.65 sec
10,Keith Smith40,"5' 11""",182 lbs,,,,,,
11,Alex Smith11,"6' 4""",213 lbs,4.71 sec,3.97 sec,32.0 in,113 in,,6.82 sec
12,Aaron Rodgers12,"6' 2""",225 lbs,4.71 sec,,34.5 in,110 in,,7.39 sec
13,Ryan Fitzpatrick14,"6' 2""",228 lbs,4.86 sec,4.07 sec,30.5 in,105 in,,
14,C.J. Mosley57,"6' 2""",315 lbs,5.08 sec,4.64 sec,27.5 in,100 in,27 reps,8.21 sec
15,C.J. Mosley57,"6' 2""",250 lbs,4.65 sec,4.40 sec,35.0 in,118 in,,7.30 sec
16,Marcedes Lewis89,"6' 6""",267 lbs,4.80 sec,4.84 sec,37.0 in,118 in,23 reps,7.24 sec
17,Greg Olsen88,"6' 5""",255 lbs,4.51 sec,4.48 sec,35.5 in,114 in,23 reps,7.04 sec
18,Adrian Peterson26,"6' 1""",220 lbs,4.40 sec,4.40 sec,38.5 in,127 in,,7.09 sec
19,Chris Jones95,"6' 1""",293 lbs,5.33 sec,4.44 sec,,,30 reps,7.34 sec
20,Chris Jones25,"6' 1""",293 lbs,5.33 sec,4.44 sec,,,30 reps,7.34 sec
21,Chris Jones6,"6' 1""",293 lbs,5.33 sec,4.44 sec,,,30 reps,7.34 sec
22,Chris Jones95,"6' 6""",310 lbs,5.03 sec,4.62 sec,24.5 in,106 in,26 reps,7.44 sec
23,Chris Jones25,"6' 6""",310 lbs,5.03 sec,4.62 sec,24.5 in,106 in,26 reps,7.44 sec
24,Chris Jones6,"6' 6""",310 lbs,5.03 sec,4.62 sec,24.5 in,106 in,26 reps,7.44 sec
25,DeSean Jackson10,"5' 10""",175 lbs,4.35 sec,,,120 in,,
26,Calais Campbell93,"6' 8""",300 lbs,5.04 sec,4.69 sec,29.5 in,111 in,16 reps,7.45 sec
27,Matt Ryan2,"6' 4""",217 lbs,4.89 sec,4.51 sec,,,,7.40 sec
28,Chris Johnson31,"5' 11""",203 lbs,4.24 sec,,35.0 in,130 in,,
29,Chad Henne4,"6' 3""",222 lbs,4.92 sec,4.40 sec,,26 in,106 reps,
30,Danny Amendola80,"5' 11""",185 lbs,4.58 sec,4.25 sec,27.5 in,103 in,13 reps,6.81 sec
31,Matthew Stafford9,"6' 3""",220 lbs,4.81 sec,4.47 sec,30.5 in,107 in,,7.06 sec
32,Jared Cook87,"6' 5""",254 lbs,4.49 sec,4.56 sec,41.0 in,123 in,23 reps,7.25 sec
33,Andre Smith57,"6' 4""",330 lbs,4.63 sec,,,,19 reps,
34,Andre Smith76,"6' 4""",330 lbs,4.63 sec,,,,19 reps,
35,Mike Thomas80,"5' 8""",198 lbs,4.30 sec,4.28 sec,40.5 in,126 in,,6.65 sec
36,Mike Thomas80,"6' 1""",189 lbs,4.54 sec,4.26 sec,36.0 in,126 in,16 reps,7.06 sec
37,Malcolm Jenkins27,"6' 0""",204 lbs,4.51 sec,4.08 sec,33.0 in,124 in,15 reps,6.59 sec
38,Patrick Chung23,"5' 11""",215 lbs,4.49 sec,,34.0 in,119 in,25 reps,
39,Brian Hoyer2,"6' 2""",216 lbs,5.02 sec,4.42 sec,32.0 in,109 in,,7.10 sec
