,Team,Owner,Year_Acquired
0,Arizona Cardinals,Estate of Bill Bidwill,2019
1,Atlanta Falcons,Arthur Blank,2004
2,Baltimore Ravens,Steve Bisciotti,2004
3,Buffalo Bills,Kim and Terry Pegula,2014
4,Carolina Panthers,David Tepper,2018
5,Chicago Bears,Virginia Halas McCaskey,1983
6,Cincinnati Bengals,Mike Brown,1991
7,Cleveland Browns,Jimmy and Dee Haslam,2012
8,Dallas Cowboys,Jerry Jones,1989
9,Denver Broncos,"Joe Ellis, trustee6",2019
10,Detroit Lions,Martha Ford[1],2014
11,Green Bay Packers,"Green Bay Packers, Inc.4",1923
12,Houston Texans,Janice McNair and family,2018
13,Indianapolis Colts,Jim Irsay,1997
14,Jacksonville Jaguars,Shahid Khan,2012
15,Kansas City Chiefs,Clark Hunt and siblings,2006
16,Las Vegas Raiders,Carol and Mark Davis (mother and son),2011
17,Los Angeles Chargers,Dean Spanos,2018
18,Los Angeles Rams,Stan Kroenke1,2010
19,Miami Dolphins,Stephen M. Ross,2008
20,Minnesota Vikings,Zygi Wilf,2005
21,New England Patriots,Robert Kraft,1994
22,New Orleans Saints,Gayle Benson,2018
23,New York Giants,John Mara (50%)3 Steve Tisch (50%),2005
24,New York Jets,Robert Wood Johnson IV5 and Christopher Wold Johnson,2000
25,Philadelphia Eagles,Jeffrey Lurie,1994
26,Pittsburgh Steelers,"Art Rooney II1,3 (60%) and family (12%)1,2,3",2017
27,San Francisco 49ers,Denise DeBartolo York and Jed York1,2009
28,Seattle Seahawks,"Jody Allen, trustee6",2018
29,Tampa Bay Buccaneers,Bryan Glazer and siblings,2014
30,Tennessee Titans,Amy Adams Strunk 2,2013
31,Washington Redskins,Dan Snyder,1999
