,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,PlayerID
0,16,271,461,58.8,3089,6.7,224.9,53,20,9,38,237,45.8,85.3,Josh Allen41
1,16,271,461,58.8,3089,6.7,224.9,53,20,9,38,237,45.8,85.3,Josh Allen17
2,2,27,51,52.9,359,7.0,177.5,41,0,3,2,10,9.2,51.0,Matt Barkley5
3,15,1,1,100.0,28,28.0,73.0,28,1,0,0,0,100.0,158.3,John Brown15
4,15,311,502,62.0,3529,7.0,251.5,51,20,13,40,209,64.7,85.5,Ryan Fitzpatrick14
5,6,58,109,53.2,567,5.2,96.7,40,1,5,16,93,19.4,52.0,Josh Rosen3
6,13,1,2,50.0,20,10.0,32.0,20,0,0,1,10,10.1,85.4,Albert Wilson15
7,16,1,2,50.0,1,0.5,0.2,1,1,0,0,0,0.0,95.8,Matt Haack2
8,16,373,613,60.8,4057,6.6,255.7,59,24,8,27,185,52.5,88.0,Tom Brady12
9,16,2,2,100.0,47,23.5,74.4,32,1,0,0,0,100.0,158.3,Julian Edelman11
10,15,1,1,100.0,35,35.0,62.9,35,0,0,0,0,99.9,118.8,James White28
11,3,2,4,50.0,14,3.5,4.0,11,0,1,1,7,0.1,18.8,Jarrett Stidham4
12,13,273,441,61.9,3024,6.9,237.4,92,19,13,33,212,41.5,84.3,Sam Darnold14
13,15,265,401,66.1,3127,7.8,288.9,83,36,6,23,106,81.1,113.3,Lamar Jackson21
14,15,265,401,66.1,3127,7.8,288.9,83,36,6,23,106,81.1,113.3,Lamar Jackson8
15,7,23,38,60.5,225,5.9,42.1,39,1,2,5,19,44.6,64.0,Robert Griffin III3
16,16,1,1,100.0,-2,-2.0,-0.1,-2,0,0,0,0,100.0,79.2,Sam Koch4
17,13,314,528,59.5,3494,6.6,274.1,66,16,14,37,249,37.0,78.3,Andy Dalton
18,3,41,87,47.1,474,5.4,183.7,47,2,2,11,93,22.3,62.1,Ryan Finley5
19,16,1,1,100.0,26,26.0,36.8,26,0,0,0,0,99.9,118.8,Alex Erickson12
20,16,317,534,59.4,3827,7.2,248.0,89,22,21,40,285,49.1,78.8,Baker Mayfield6
21,16,1,2,50.0,20,10.0,66.6,20,0,0,0,0,72.9,85.4,Odell Beckham Jr.13
22,5,0,3,0.0,0,0.0,-0.6,0,0,0,0,0,12.5,39.6,Garrett Gilbert3
23,10,176,283,62.2,1765,6.2,180.7,76,13,9,15,124,34.9,82.0,Mason Rudolph2
24,8,100,160,62.5,1063,6.6,141.4,79,5,8,15,102,28.9,71.4,Devlin Hodges6
25,2,35,62,56.5,351,5.7,179.0,45,0,1,2,7,20.8,66.0,Ben Roethlisberger7
26,14,4,5,80.0,35,7.0,36.8,21,0,1,0,0,1.2,56.3,Jaylen Samuels38
27,15,333,495,67.3,3852,7.8,284.7,54,26,12,44,257,69.5,98.0,Deshaun Watson4
28,2,21,37,56.8,225,6.1,132.0,21,0,1,5,43,28.1,63.5,AJ McCarron2
29,15,1,2,50.0,6,3.0,79.3,6,1,1,0,0,0.0,56.3,DeAndre Hopkins10
30,15,272,447,60.8,2942,6.6,211.5,50,18,6,27,159,52.1,88.0,Jacoby Brissett7
