,Rank,PASS_CMP,PASS_ATT,PASS_PCT,PASS_YDS,PASS_Y_A,PASS_TD,PASS_INT,PASS_SACKS,RUSH_ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS_G,OWN,Year,PlayerID
0,2,446,650,68.6,5162,7.9,39,12,37,35,52,3,2,16,385.8,24.1,92.60%,2013,Drew Brees9
1,6,456,659,69.2,4952,7.5,33,17,29,27,68,1,3,16,303.9,19,92.60%,2014,Drew Brees9
2,6,428,627,68.3,4870,7.8,32,11,31,24,14,1,2,15,306.5,20.4,92.60%,2015,Drew Brees9
3,3,471,673,70,5208,7.7,37,15,27,23,20,2,4,16,332.3,20.8,92.60%,2016,Drew Brees9
4,9,386,536,72,4334,8.1,23,8,20,33,12,2,0,16,262.6,16.4,92.60%,2017,Drew Brees9
5,8,364,489,74.4,3992,8.2,32,5,17,31,22,4,1,15,303.8,20.3,92.60%,2018,Drew Brees9
6,22,281,378,74.3,2979,7.9,27,4,12,9,-4,1,0,11,228.8,20.8,92.60%,2019,Drew Brees9
7,3,363,586,61.9,4293,7.3,33,20,29,61,183,2,3,16,326.1,20.4,1.40%,2013,Andy Dalton
8,18,309,481,64.2,3398,7.1,19,17,21,60,169,4,2,16,225.5,14.1,1.40%,2014,Andy Dalton
9,18,255,386,66.1,3250,8.4,25,7,20,57,142,3,2,13,244.1,18.8,1.40%,2015,Andy Dalton
10,13,364,563,64.7,4206,7.5,18,8,41,46,184,4,3,16,260.6,16.3,1.40%,2016,Andy Dalton
11,17,297,496,59.9,3320,6.7,25,12,39,38,99,0,4,16,210.7,13.2,1.40%,2017,Andy Dalton
12,25,226,365,61.9,2566,7,21,11,21,16,99,0,0,11,174.5,15.9,1.40%,2018,Andy Dalton
13,25,314,528,59.5,3494,6.6,16,14,37,32,73,4,4,13,216.5,16.7,1.40%,2019,Andy Dalton
14,4,371,634,58.5,4650,7.3,29,19,23,37,69,2,4,16,325.4,20.3,54.00%,2013,Matthew Stafford9
15,15,363,602,60.3,4257,7.1,22,12,45,43,93,2,3,16,251,15.7,54.00%,2014,Matthew Stafford9
16,9,398,592,67.2,4262,7.2,32,13,44,44,159,1,2,16,289.7,18.1,54.00%,2015,Matthew Stafford9
17,7,388,594,65.3,4327,7.3,24,10,37,37,207,2,2,16,279.7,17.5,54.00%,2016,Matthew Stafford9
18,7,371,565,65.7,4446,7.9,29,10,47,29,98,0,7,16,273.8,17.1,54.00%,2017,Matthew Stafford9
19,20,367,555,66.1,3777,6.8,21,11,40,25,71,0,4,16,212.1,13.3,54.00%,2018,Matthew Stafford9
20,29,187,291,64.3,2499,8.6,19,5,18,20,66,0,3,8,171.5,21.4,54.00%,2019,Matthew Stafford9
21,7,378,544,69.5,4478,8.2,32,11,30,28,72,0,2,16,311.4,19.5,11.20%,2013,Philip Rivers17
22,12,379,570,66.5,4286,7.5,31,18,36,37,102,0,2,16,265.7,16.6,11.20%,2014,Philip Rivers17
23,12,437,661,66.1,4792,7.2,29,13,40,17,28,0,2,16,284.3,17.8,11.20%,2015,Philip Rivers17
24,14,349,578,60.4,4386,7.6,33,21,36,14,35,0,5,16,259,16.2,11.20%,2016,Philip Rivers17
25,8,360,575,62.6,4515,7.9,28,10,18,18,-2,0,1,16,270.5,16.9,11.20%,2017,Philip Rivers17
26,11,347,508,68.3,4308,8.5,32,12,32,18,7,0,1,16,284.9,17.8,11.20%,2018,Philip Rivers17
27,15,390,591,66,4615,7.8,23,20,34,12,29,0,3,16,255.5,16,11.20%,2019,Philip Rivers17
28,8,257,407,63.1,3357,8.2,26,9,44,96,539,1,5,16,298.3,18.6,98.30%,2013,Russell Wilson3
29,3,285,452,63.1,3475,7.7,20,7,42,118,849,6,0,16,328.5,20.5,98.30%,2014,Russell Wilson3
30,3,329,483,68.1,4024,8.3,34,8,45,103,553,1,3,16,336.4,21,98.30%,2015,Russell Wilson3
31,11,353,546,64.7,4219,7.7,21,11,41,72,259,1,2,16,268.1,16.8,98.30%,2016,Russell Wilson3
32,1,339,553,61.3,3983,7.2,34,11,43,95,586,3,3,16,347.8,21.7,98.30%,2017,Russell Wilson3
33,9,280,427,65.6,3448,8.1,35,7,51,67,376,0,2,16,298.4,18.7,98.30%,2018,Russell Wilson3
34,4,341,516,66.1,4110,8,31,5,48,75,342,3,2,16,333.5,20.8,98.30%,2019,Russell Wilson3
35,9,375,584,64.2,4261,7.3,28,14,42,27,99,1,6,16,294.4,18.4,45.80%,2013,Ben Roethlisberger7
36,5,408,608,67.1,4952,8.1,32,9,33,33,27,0,5,16,306.2,19.1,45.80%,2014,Ben Roethlisberger7
37,20,319,469,68,3938,8.4,21,16,20,15,29,0,0,12,227.6,19,45.80%,2015,Ben Roethlisberger7
38,18,328,509,64.4,3819,7.5,29,13,17,16,14,1,2,14,252.3,18,45.80%,2016,Ben Roethlisberger7
39,11,360,561,64.2,4251,7.6,28,14,21,28,47,0,1,15,260.6,17.4,45.80%,2017,Ben Roethlisberger7
40,3,452,675,67,5129,7.6,34,16,24,31,98,3,2,16,341,21.3,45.80%,2018,Ben Roethlisberger7
41,53,35,62,56.5,351,5.7,0,1,2,1,7,0,0,2,13.7,6.9,45.80%,2019,Ben Roethlisberger7
42,11,439,651,67.4,4515,6.9,26,17,44,17,55,0,4,16,288.1,18,86.70%,2013,Matt Ryan2
43,7,415,628,66.1,4694,7.5,28,14,31,29,145,0,2,16,284,17.8,86.70%,2014,Matt Ryan2
44,19,407,614,66.3,4591,7.5,21,16,30,36,63,0,5,16,233.9,14.6,86.70%,2015,Matt Ryan2
45,2,373,534,69.9,4944,9.3,38,7,37,35,117,0,2,16,347.5,21.7,86.70%,2016,Matt Ryan2
46,15,342,529,64.7,4095,7.7,20,12,24,32,143,0,3,16,228.1,14.3,86.70%,2017,Matt Ryan2
47,2,422,608,69.4,4924,8.1,35,7,42,33,125,3,5,16,354,22.1,86.70%,2018,Matt Ryan2
48,11,408,616,66.2,4466,7.3,26,14,48,34,147,1,5,15,281.4,18.8,86.70%,2019,Matt Ryan2
49,13,380,628,60.5,4343,6.9,25,11,40,32,18,0,3,16,277.5,17.3,91.30%,2013,Tom Brady12
50,9,373,582,64.1,4109,7.1,33,9,21,36,57,0,3,16,278.3,17.4,91.30%,2014,Tom Brady12
51,2,402,624,64.4,4770,7.6,36,7,38,34,53,3,2,16,343.7,21.5,91.30%,2015,Tom Brady12
52,15,291,432,67.4,3554,8.2,28,2,15,28,64,0,0,12,258.4,21.5,91.30%,2016,Tom Brady12
53,3,385,581,66.3,4577,7.9,32,8,35,25,28,0,3,16,295.9,18.5,91.30%,2017,Tom Brady12
54,14,375,570,65.8,4355,7.6,29,11,21,23,35,2,2,16,280.4,17.5,91.30%,2018,Tom Brady12
55,12,373,613,60.8,4057,6.6,24,8,27,26,34,3,1,16,271.6,17,91.30%,2019,Tom Brady12
56,14,355,588,60.4,3913,6.7,24,17,58,40,238,1,5,16,276.5,17.3,53.90%,2013,Ryan Tannehill17
57,8,392,590,66.4,4045,6.9,27,12,46,56,311,1,2,16,280,17.5,53.90%,2014,Ryan Tannehill17
