,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,PlayerID
0,15,72,115,1060,14.7,6,53,17,70.7,0,0,217,53,John Brown15
1,15,67,106,778,11.6,6,51,10,51.9,0,0,344,37,Cole Beasley10
2,15,28,50,388,13.9,2,49,7,25.9,0,0,149,15,Dawson Knox88
3,15,27,39,254,9.4,1,46,3,16.9,0,0,207,12,Isaiah McKenzie19
4,12,29,41,194,6.7,2,49,3,16.2,0,0,194,5,Devin Singletary26
5,4,12,19,166,13.8,1,41,3,41.5,0,0,47,8,Duke Williams82
6,6,13,15,124,9.5,0,23,1,20.7,0,0,122,6,T.J. Yeldon22
7,6,8,13,114,14.3,0,29,3,19.0,0,0,39,4,Tommy Sweeney89
8,11,6,14,71,11.8,1,20,1,6.5,0,0,28,5,Tyler Kroft81
9,5,7,18,69,9.9,0,23,2,13.8,0,0,17,4,Zay Jones12
10,10,20,27,147,7.3,0,16,0,14.7,0,0,60,6,Zay Jones12
11,13,3,18,64,21.3,0,24,3,4.9,0,0,32,3,Robert Foster16
12,16,5,7,41,8.2,0,27,1,2.6,0,0,31,1,Patrick DiMarco42
13,16,4,5,31,7.8,1,9,0,1.9,0,0,8,2,Lee Smith85
14,13,3,7,20,6.7,0,7,0,1.5,0,0,7,1,Andre Roberts18
15,11,1,1,1,1.0,0,1,0,0.1,0,0,1,0,Senorise Perry
16,16,1,1,1,1.0,1,1,0,0.1,0,0,0,1,Dion Dawkins73
17,16,72,128,1202,16.7,9,51,21,75.1,0,0,291,58,DeVante Parker11
18,16,51,89,570,11.2,5,34,7,35.6,1,1,195,25,Mike Gesicki88
19,8,32,60,428,13.4,3,35,6,53.5,2,1,71,24,Preston Williams18
20,14,32,47,416,13.0,2,27,4,29.7,1,1,101,18,Allen Hurns17
21,13,43,62,351,8.2,1,35,4,27.0,0,0,181,22,Albert Wilson15
22,8,23,35,244,10.6,0,28,2,30.5,0,0,86,16,Isaiah Ford84
23,15,23,30,204,8.9,0,21,2,13.6,0,0,181,13,Patrick Laird42
24,6,22,33,174,7.9,0,26,1,29.0,0,0,167,6,Kenyan Drake41
25,8,28,35,171,6.1,0,21,1,21.4,0,0,266,9,Kenyan Drake41
26,10,19,33,164,8.6,0,18,0,16.4,0,0,88,9,Jakeem Grant19
27,16,7,14,65,9.3,0,24,1,4.1,0,0,18,2,Durham Smythe81
28,12,14,24,63,4.5,0,13,0,5.3,0,0,88,4,Kalen Ballage27
29,7,7,12,51,7.3,0,20,1,7.3,0,0,49,2,Myles Gaskin37
30,7,4,5,37,9.3,0,19,0,5.3,1,0,21,2,Nick O'Leary86
31,5,9,13,72,8.0,1,15,0,14.4,0,0,21,2,Nick O'Leary86
32,16,1,1,1,1.0,1,1,0,0.1,1,0,0,1,Christian Wilkins94
33,16,1,1,1,1.0,1,1,0,0.1,0,0,0,1,Jason Sanders7
