,GP,KO_ATT,KO_YDS,KO_AVG,KO_LNG,KO_TD,PUNTS_ATT,PUNTS_YDS,PUNTS_AVG,PUNTS_LNG,PUNTS_TD,PUNTS_FC,PlayerID
0,13,25,664,26.6,66,0,28,223,8.0,22,0,15,Andre Roberts18
1,15,3,65,21.7,24,0,1,4,4.0,4,0,1,Isaiah McKenzie19
2,16,2,47,23.5,45,1,3,16,5.3,10,0,5,Micah Hyde23
3,16,1,24,24.0,24,0,0,0,0.0,0,0,0,Patrick DiMarco42
4,11,1,2,2.0,2,0,0,0,0.0,0,0,0,Senorise Perry
5,10,23,578,25.1,101,1,5,6,1.2,5,0,0,Jakeem Grant19
6,3,4,95,23.8,30,0,6,33,5.5,10,0,3,Trevor Davis
7,9,19,411,21.6,52,0,13,111,8.5,32,0,11,Trevor Davis
8,2,0,0,0.0,0,0,3,1,0.3,1,0,7,Trevor Davis
9,16,4,45,11.3,14,0,0,0,0.0,0,0,0,Durham Smythe81
10,6,1,15,15.0,15,0,0,0,0.0,0,0,0,Kenyan Drake41
11,8,1,6,6.0,6,0,0,0,0.0,0,0,0,Isaiah Ford84
12,8,0,0,0.0,0,0,10,115,11.5,21,0,5,Preston Williams18
13,15,23,515,22.4,38,0,0,0,0.0,0,0,0,Brandon Bolden38
14,15,2,41,20.5,21,0,0,0,0.0,0,0,0,James White28
15,16,1,19,19.0,19,0,0,0,0.0,0,0,0,Julian Edelman11
16,8,0,0,0.0,0,0,9,54,6.0,14,0,9,Mohamed Sanu Sr.14
17,7,0,0,0.0,0,0,1,2,2.0,2,0,0,Mohamed Sanu Sr.14
18,8,0,0,0.0,0,0,20,179,8.9,22,0,16,Gunner Olszewski80
19,13,10,299,29.9,78,0,0,0,0.0,0,0,0,Vyncint Smith17
20,4,5,96,19.2,28,0,0,0,0.0,0,0,0,Trenton Cannon25
21,16,4,48,12.0,25,0,21,240,11.4,26,0,32,Braxton Berrios10
22,16,12,227,18.9,46,0,0,0,0.0,0,0,0,Justice Hill43
23,8,10,166,16.6,31,0,13,93,7.2,20,0,7,De'Anthony Thomas16
24,6,7,155,22.1,29,0,13,55,4.2,10,0,1,De'Anthony Thomas16
25,14,4,81,20.3,26,0,0,0,0.0,0,0,0,Chris Moore10
26,16,1,19,19.0,19,0,0,0,0.0,0,0,0,Willie Snead IV83
27,12,20,625,31.3,92,1,0,0,0.0,0,0,0,Brandon Wilson40
28,8,17,373,21.9,37,0,3,8,2.7,9,0,1,Darius Phillips24
29,16,4,79,19.8,26,0,25,157,6.3,17,0,16,Alex Erickson12
30,16,1,14,14.0,14,0,0,0,0.0,0,0,0,Giovani Bernard25
31,16,0,0,0.0,0,0,1,-1,-1.0,-1,0,0,Tyler Boyd83
