Rank,Name,Salary
1.0,Kirk Cousins8,27500000
2.0,Marcus Mariota8,20922000
2.0,Jameis Winston,20922000
4.0,Derek Carr4,19900000
6.0,Jimmy Garoppolo10,17200000
7.0,Von Miller58,17000000
7.0,Mike Evans13,17000000
11.0,Chandler Jones55,16500000
13.0,Andy Dalton,16000000
15.0,Olivier Vernon54,15250000
16.0,Grady Jarrett97,15209000
18.0,Taylor Lewan77,14500000
19.0,Leonard Williams99,14200000
20.0,Tom Brady12,14000000
21.0,Amari Cooper19,13924000
22.0,Jason Pierre-Paul90,13650000
23.0,Matthew Stafford9,13500000
25.0,Russell Okung76,13000000
25.0,J.J. Watt99,13000000
25.0,Andrew Norwell68,13000000
25.0,A.J. Bouye21,13000000
25.0,T.Y. Hilton13,13000000
30.0,Nate Solder76,12900000
32.0,Darius Slay24,12550000
33.0,Brandon Scherff75,12525000
34.0,Kawann Short99,12500000
34.0,Jarvis Landry80,12500000
34.0,DeAndre Hopkins10,12500000
37.0,Calais Campbell93,12000000
38.0,Sammy Watkins14,11950000
39.0,Alshon Jeffery17,11750000
41.0,Patrick Peterson21,11000000
41.0,Larry Fitzgerald11,11000000
41.0,Josh Norman24,11000000
41.0,Philip Rivers17,11000000
45.0,Terron Armstead72,10700000
46.0,Jurrell Casey99,10550000
47.0,Malcolm Butler21,10500000
47.0,Bobby Wagner54,10500000
47.0,Ryan Kerrigan91,10500000
50.0,Xavier Rhodes27,10400000
51.0,Eric Fisher72,10350000
52.0,Emmanuel Sanders17,10250000
52.0,Andrew Whitworth77,10250000
54.0,Janoris Jenkins20,10150000
56.0,Ryan Jensen66,10000000
56.0,Kevin Zeitler70,10000000
56.0,Keenan Allen13,10000000
56.0,Tyron Smith77,10000000
56.0,Zack Martin70,10000000
56.0,Joe Haden23,10000000
63.0,Lavonte David54,9750000
65.0,D.J. Humphries74,9625000
65.0,Andrus Peat75,9625000
67.0,Julio Jones11,9600000
68.0,Jimmy Smith22,9500000
68.0,Desmond Trufant21,9500000
71.0,Danielle Hunter99,9400000
71.0,Riley Reiff71,9400000
73.0,Nelson Agholor13,9387000
74.0,Brandon Williams98,9250000
75.0,Shaq Thompson54,9232000
75.0,Bud Dupree48,9232000
78.0,Aaron Donald99,9108000
79.0,Damarious Randall23,9069000
79.0,Marcus Peters24,9069000
79.0,Trae Waynes26,9069000
82.0,Arik Armstead91,9046000
83.0,Devin McCourty32,9000000
85.0,Stefon Diggs14,8900000
85.0,Linval Joseph95,8900000
87.0,Cameron Heyward97,8750000
88.0,Alex Mack51,8500000
88.0,David Bakhtiari69,8500000
91.0,Harrison Smith22,8350000
92.0,Rodney Hudson61,8250000
94.0,Malcolm Jenkins27,8100000
96.0,Geno Atkins97,8000000
96.0,Akiem Hicks96,8000000
96.0,Brandon Brooks79,8000000
96.0,Zach Ertz86,8000000
96.0,Derek Wolfe95,8000000
96.0,Sheldon Richardson98,8000000
96.0,Duane Brown76,8000000
96.0,Cameron Jordan94,8000000
109.0,Kenny Stills12,7975000
113.0,Michael Brockers90,7777777
114.0,Larry Warford67,7650000
115.0,Travis Kelce87,7500000
115.0,T.J. Carrie38,7500000
119.0,Kyle Rudolph82,7275000
120.0,Marqise Lee11,7250000
122.0,Star Lotulelei98,7150000
123.0,David DeCastro66,7070000
124.0,Christian Kirksey58,7000000
124.0,Tyrone Crawford98,7000000
124.0,Donovan Smith76,7000000
124.0,Dont'a Hightower54,7000000
124.0,Richard Sherman25,7000000
124.0,Cameron Brate84,7000000
131.0,Albert Wilson15,6975000
132.0,Jerry Hughes55,6800000
133.0,Gabe Jackson66,6750000
135.0,Trey Burton80,6700000
136.0,La'el Collins71,6516750
137.0,Zach Fulton73,6500000
137.0,Jake Matthews70,6500000
137.0,Mario Addison97,6500000
137.0,Anthony Hitchens53,6500000
137.0,Joel Bitonio75,6500000
143.0,Kiko Alonso54,6485000
145.0,Byron Jones31,6266000
146.0,Anthony Castonzo74,6250000
147.0,Laurent Duvernay-Tardif76,6203000
149.0,Chris Hubbard74,6150000
150.0,DaQuan Jones90,6000000
150.0,Stephon Tuitt91,6000000
150.0,Mitchell Schwartz71,6000000
150.0,Robert Quinn94,6000000
150.0,Benardrick McKinney55,6000000
150.0,Robert Woods17,6000000
150.0,Brian Winters67,6000000
150.0,Mike Pouncey53,6000000
160.0,Demario Davis56,5950000
161.0,Adam Thielen19,5850000
162.0,Danny Trevathan59,5800000
162.0,Trent Murphy93,5800000
162.0,Bryan Bulaga75,5800000
165.0,D.J. Hayden25,5750000
165.0,Whitney Mercilus59,5750000
167.0,David Johnson31,5700000
168.0,Melvin Gordon25,5605000
169.0,Bobby McCain28,5600000
170.0,Weston Richburg58,5500000
170.0,Brandon Linder65,5500000
170.0,Marcus Cannon61,5500000
