,team,year,points_scored_gm,rush_yds_gm,pass_yds_gm,total_yds_gm,points_allowed_gm,rush_yds_allowed_gm,pass_yds_allowed_gm,yds_allowed_gm
0,Dallas Cowboys,2019,27.1,134.6,296.9,431.5,20.1,103.5,223.5,327.0
1,Baltimore Ravens,2019,33.2,206.0,201.6,407.6,17.6,93.4,207.2,300.6
2,Tampa Bay Buccaneers,2019,28.6,95.1,302.8,397.9,28.1,73.8,270.1,343.9
3,San Francisco 49ers,2019,29.9,144.1,237.0,381.1,19.4,112.6,169.2,281.8
4,Atlanta Falcons,2019,23.8,85.1,294.6,379.7,24.9,110.9,244.9,355.8
5,Kansas City Chiefs,2019,28.2,98.1,281.1,379.2,19.2,128.2,221.4,349.6
6,Los Angeles Rams,2019,24.6,93.7,281.2,374.9,22.8,113.1,226.6,339.6
7,Seattle Seahawks,2019,25.3,137.5,236.9,374.4,24.9,117.7,263.9,381.6
8,New Orleans Saints,2019,28.6,108.6,265.2,373.9,21.3,91.3,241.8,333.1
9,Los Angeles Chargers,2019,21.1,90.8,276.6,367.4,21.6,112.8,200.2,313.1
10,Oakland Raiders,2019,19.6,118.3,245.4,363.7,26.2,98.1,256.7,354.8
11,Tennessee Titans,2019,25.1,138.9,223.9,362.8,20.7,104.5,255.0,359.5
12,Houston Texans,2019,23.6,125.6,236.4,362.0,24.1,121.1,267.2,388.3
13,Philadelphia Eagles,2019,24.1,121.2,239.6,360.8,22.1,90.1,241.6,331.7
14,New England Patriots,2019,26.2,106.4,247.6,354.0,14.1,95.5,180.4,275.9
15,Minnesota Vikings,2019,25.4,133.3,220.2,353.5,18.9,108.0,233.6,341.6
16,Detroit Lions,2019,21.3,103.1,243.8,346.8,26.4,115.9,284.4,400.4
17,Green Bay Packers,2019,23.5,112.2,233.3,345.5,19.6,120.1,232.6,352.6
18,Carolina Panthers,2019,21.2,113.7,228.1,341.8,29.4,143.5,231.0,374.5
19,Jacksonville Jaguars,2019,18.8,106.8,235.0,341.8,24.8,139.3,236.1,375.4
20,Arizona Cardinals,2019,22.6,124.4,217.3,341.7,27.6,120.1,281.9,402.0
21,Cleveland Browns,2019,20.9,118.8,222.1,340.9,24.6,144.7,216.9,361.6
22,New York Giants,2019,21.3,105.3,233.2,338.5,28.2,113.2,264.1,377.3
23,Buffalo Bills,2019,19.6,128.4,201.8,330.2,16.2,103.1,195.2,298.2
24,Indianapolis Colts,2019,22.6,133.1,194.2,327.4,23.3,97.9,248.9,346.8
25,Cincinnati Bengals,2019,17.4,94.8,228.2,323.1,26.2,148.9,244.8,393.7
26,Miami Dolphins,2019,19.1,72.2,237.8,310.0,30.9,135.4,262.4,397.8
27,Denver Broncos,2019,17.6,103.9,194.7,298.6,19.8,111.4,225.6,337.0
28,Chicago Bears,2019,17.5,91.1,205.7,296.8,18.6,102.0,222.1,324.1
