,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
0,5,38,20,0.0,3,0,0,1,0,12,0.0,0.0,5.0%,2013,Patrick Chung23
1,61,54,30,0.0,8,1,0,0,0,16,119.3,7.5,5.0%,2014,Patrick Chung23
2,46,49,33,0.0,9,0,1,0,0,15,129.3,8.6,5.0%,2015,Patrick Chung23
3,52,48,39,1.0,3,1,0,0,0,16,130.3,8.1,5.0%,2016,Patrick Chung23
4,27,67,11,0.0,9,1,0,2,0,16,146.7,9.2,5.0%,2017,Patrick Chung23
5,77,51,29,0.5,3,1,0,1,0,15,114.3,7.6,5.0%,2018,Patrick Chung23
6,153,38,13,0.0,3,0,0,0,0,13,74.0,5.7,5.0%,2019,Patrick Chung23
7,7,43,24,2.5,6,2,2,0,0,14,0.0,0.0,38.7%,2013,Malcolm Jenkins27
8,21,61,15,0.0,15,3,0,1,1,16,151.5,9.5,38.7%,2014,Malcolm Jenkins27
9,3,86,18,0.0,10,2,3,1,1,16,218.3,13.6,38.7%,2015,Malcolm Jenkins27
10,19,44,25,1.0,9,3,0,1,2,16,150.8,9.4,38.7%,2016,Malcolm Jenkins27
11,34,57,12,1.0,8,2,1,1,0,16,142.8,8.9,38.7%,2017,Malcolm Jenkins27
12,10,76,18,1.0,8,1,3,1,0,16,179.8,11.2,38.7%,2018,Malcolm Jenkins27
13,15,62,18,2.5,8,0,4,1,0,16,164.0,10.3,38.7%,2019,Malcolm Jenkins27
14,26,47,20,0.0,9,1,2,1,0,15,0.0,0.0,12.8%,2013,Devin McCourty32
15,74,50,17,0.0,6,2,1,0,0,16,111.2,7.0,12.8%,2014,Devin McCourty32
16,101,49,13,1.0,6,1,0,0,0,14,107.6,7.7,12.8%,2015,Devin McCourty32
17,40,64,14,0.0,7,1,1,1,0,16,137.9,8.6,12.8%,2016,Devin McCourty32
18,15,77,17,1.0,5,1,0,1,0,16,158.8,9.9,12.8%,2017,Devin McCourty32
19,54,54,22,0.0,4,1,1,2,1,16,127.7,8.0,12.8%,2018,Devin McCourty32
20,50,46,12,0.0,7,5,2,1,0,16,125.8,7.9,12.8%,2019,Devin McCourty32
21,42,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Eric Smith79
22,353,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Eric Smith79
23,409,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Eric Smith79
24,406,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Eric Smith79
25,335,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Eric Smith79
26,414,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Eric Smith79
27,461,0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%,2019,Eric Smith79
28,72,1,1,0.0,0,0,0,0,0,16,0.0,0.0,28.0%,2013,Shawn Williams36
29,293,0,1,0.0,0,0,0,1,0,16,4.8,0.3,28.0%,2014,Shawn Williams36
30,169,22,6,0.0,5,2,0,0,0,16,60.9,3.8,28.0%,2015,Shawn Williams36
31,22,59,22,1.0,5,3,0,0,0,15,148.3,9.9,28.0%,2016,Shawn Williams36
