,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
0,2,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2013,Daeshon Hall74
1,347,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2014,Daeshon Hall74
2,362,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2015,Daeshon Hall74
3,361,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2016,Daeshon Hall74
4,362,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.8%,2017,Daeshon Hall74
5,257,1,1,0.5,0,0,0,0,0,1,4.3,4.3,0.8%,2018,Daeshon Hall74
6,228,3,1,1.0,0,0,0,0,0,9,11.8,1.3,0.8%,2019,Daeshon Hall74
7,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Nazair Jones92
8,340,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Nazair Jones92
9,357,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Nazair Jones92
10,380,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Nazair Jones92
11,134,10,9,2.0,3,1,0,1,0,11,51.4,4.7,0.0%,2017,Nazair Jones92
12,230,2,6,0.0,0,0,0,0,0,9,10.2,1.1,0.0%,2018,Nazair Jones92
13,322,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Nazair Jones92
14,4,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2013,Tanzel Smart92
15,341,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2014,Tanzel Smart92
16,358,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2015,Tanzel Smart92
17,381,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2016,Tanzel Smart92
18,202,9,5,0.0,1,0,0,0,0,16,23.3,1.5,0.8%,2017,Tanzel Smart92
19,299,0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.8%,2018,Tanzel Smart92
20,259,2,5,0.0,0,0,0,0,0,13,6.9,0.5,0.8%,2019,Tanzel Smart92
21,5,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2013,D.J. Jones93
22,342,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2014,D.J. Jones93
23,359,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2015,D.J. Jones93
24,374,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2016,D.J. Jones93
25,210,8,2,0.0,1,0,0,0,0,9,20.5,2.3,0.8%,2017,D.J. Jones93
26,195,11,6,0.0,0,0,0,0,0,10,22.2,2.2,0.8%,2018,D.J. Jones93
27,132,19,4,2.0,0,0,1,0,0,16,53.7,3.4,0.8%,2019,D.J. Jones93
28,6,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Pita Taumoepenu59
29,343,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Pita Taumoepenu59
30,356,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Pita Taumoepenu59
31,366,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Pita Taumoepenu59
32,363,0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%,2017,Pita Taumoepenu59
33,300,1,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%,2018,Pita Taumoepenu59
34,321,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Pita Taumoepenu59
35,7,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2013,Trey Hendrickson91
36,344,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2014,Trey Hendrickson91
37,360,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2015,Trey Hendrickson91
38,373,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.1%,2016,Trey Hendrickson91
39,161,7,6,2.0,2,0,1,0,0,12,38.2,3.2,3.1%,2017,Trey Hendrickson91
40,223,7,1,0.0,0,0,0,0,0,5,11.3,2.3,3.1%,2018,Trey Hendrickson91
41,127,11,9,4.5,0,0,1,0,0,13,55.5,4.3,3.1%,2019,Trey Hendrickson91
42,8,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2013,Al-Quadin Muhammad97
43,346,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2014,Al-Quadin Muhammad97
44,361,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2015,Al-Quadin Muhammad97
45,360,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2016,Al-Quadin Muhammad97
46,289,0,1,0.0,0,0,0,0,0,4,0.8,0.2,1.5%,2017,Al-Quadin Muhammad97
47,124,16,12,0.0,1,0,0,1,0,15,52.6,3.5,1.5%,2018,Al-Quadin Muhammad97
48,83,20,7,3.0,0,0,1,0,0,16,71.5,4.5,1.5%,2019,Al-Quadin Muhammad97
49,10,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2013,Jaleel Johnson94
50,374,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2014,Jaleel Johnson94
51,365,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2015,Jaleel Johnson94
52,363,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2016,Jaleel Johnson94
53,285,0,1,0.0,0,0,0,0,0,5,1.5,0.3,0.8%,2017,Jaleel Johnson94
54,193,6,7,0.5,0,0,1,0,0,16,22.9,1.4,0.8%,2018,Jaleel Johnson94
