,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
0,2,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%,2013,Haason Reddick43
1,352,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%,2014,Haason Reddick43
2,309,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%,2015,Haason Reddick43
3,308,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%,2016,Haason Reddick43
4,104,20,12,2.5,0,0,2,0,0,16,69.0,4.3,3.0%,2017,Haason Reddick43
5,44,53,27,4.0,5,0,1,0,0,16,147.7,9.2,3.0%,2018,Haason Reddick43
6,63,43,33,1.0,6,0,0,1,0,16,121.8,7.6,3.0%,2019,Haason Reddick43
7,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%,2013,Tim Williams47
8,353,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%,2014,Tim Williams47
9,304,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%,2015,Tim Williams47
10,310,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%,2016,Tim Williams47
11,207,5,1,0.0,0,0,0,0,0,8,8.3,1.0,0.7%,2017,Tim Williams47
12,150,5,3,2.0,0,0,0,0,0,7,25.4,3.6,0.7%,2018,Tim Williams47
13,223,2,0,0.0,0,0,0,0,0,4,3.0,0.8,0.7%,2019,Tim Williams47
14,4,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2013,Takkarist McKinley98
15,354,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2014,Takkarist McKinley98
16,301,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2015,Takkarist McKinley98
17,311,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2016,Takkarist McKinley98
18,106,15,5,6.0,1,0,2,1,0,16,66.4,4.2,4.6%,2017,Takkarist McKinley98
19,94,14,7,7.0,0,0,0,0,0,15,75.7,5.0,4.6%,2018,Takkarist McKinley98
20,105,18,11,3.5,0,0,0,0,0,14,67.1,4.8,4.6%,2019,Takkarist McKinley98
21,5,0,0,0.0,0,0,0,0,0,0,0.0,0.0,38.8%,2013,Zach Cunningham41
22,355,0,0,0.0,0,0,0,0,0,0,0.0,0.0,38.8%,2014,Zach Cunningham41
23,300,0,0,0.0,0,0,0,0,0,0,0.0,0.0,38.8%,2015,Zach Cunningham41
24,313,0,0,0.0,0,0,0,0,0,0,0.0,0.0,38.8%,2016,Zach Cunningham41
25,47,45,37,1.5,6,0,1,0,0,16,140.0,8.8,38.8%,2017,Zach Cunningham41
26,34,73,32,0.0,5,1,2,1,1,14,171.9,12.3,38.8%,2018,Zach Cunningham41
27,14,95,42,2.0,2,0,0,2,0,16,210.9,13.2,38.8%,2019,Zach Cunningham41
28,6,0,0,0.0,0,0,0,0,0,0,0.0,0.0,14.3%,2013,Reuben Foster56
29,356,0,0,0.0,0,0,0,0,0,0,0.0,0.0,14.3%,2014,Reuben Foster56
