,Rank,RUSH_ATT,RUSH_YDS,RUSH_Y/A,RUSH_LG,RUSH_20+,RUSH_TD,REC,REC_TGT,REC_YDS,REC_Y/R,REC_TD,FL,G,FPTS,FPTS/G,OWN,Year,PlayerID
0,9,279,1077,3.9,30,5,6,42,52,345,8.2,4,2,16,244.2,15.3,0.6%,2013,Chris Johnson31
1,37,155,663,4.3,47,4,1,24,34,151,6.3,1,1,16,115.4,7.2,0.6%,2014,Chris Johnson31
2,35,196,814,4.2,62,6,3,6,13,58,9.7,0,2,11,101.2,9.2,0.6%,2015,Chris Johnson31
3,102,25,95,3.8,18,0,1,0,1,0,0.0,0,0,4,15.5,3.9,0.6%,2016,Chris Johnson31
4,97,45,114,2.5,11,0,0,5,6,43,8.6,0,0,4,15.7,3.9,0.6%,2017,Chris Johnson31
5,10,279,1266,4.5,78,8,10,29,40,171,5.9,1,3,14,238.7,17.1,12.1%,2013,Adrian Peterson26
6,127,21,75,3.6,17,0,0,2,3,18,9.0,0,0,1,11.3,11.3,12.1%,2014,Adrian Peterson26
7,2,327,1485,4.5,80,10,11,30,36,222,7.4,0,3,16,230.7,14.4,12.1%,2015,Adrian Peterson26
8,123,37,72,1.9,13,0,0,3,6,8,2.7,0,1,3,6.0,2.0,12.1%,2016,Adrian Peterson26
9,54,156,529,3.4,27,2,2,11,19,70,6.4,0,2,10,67.9,6.8,12.1%,2017,Adrian Peterson26
10,16,251,1042,4.2,90,5,7,20,26,208,10.4,1,2,16,169.0,10.6,12.1%,2018,Adrian Peterson26
11,28,211,898,4.3,32,6,5,17,23,142,8.4,0,2,16,130.0,8.1,12.1%,2019,Adrian Peterson26
12,13,170,695,4.1,35,3,5,56,70,514,9.2,3,1,16,224.9,14.1,3.1%,2013,Giovani Bernard25
13,17,168,680,4.0,89,2,5,43,59,349,8.1,2,0,13,187.9,14.5,3.1%,2014,Giovani Bernard25
14,21,154,730,4.7,28,2,2,49,66,472,9.6,0,0,16,132.2,8.3,3.1%,2015,Giovani Bernard25
15,43,91,337,3.7,17,0,2,39,51,336,8.6,1,1,10,83.3,8.3,3.1%,2016,Giovani Bernard25
16,36,105,458,4.4,25,5,2,43,60,389,9.0,2,0,16,108.7,6.8,3.1%,2017,Giovani Bernard25
17,60,56,211,3.8,23,2,3,35,48,218,6.2,0,0,12,60.9,5.1,3.1%,2018,Giovani Bernard25
