,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,PlayerID
0,12,151,775,5.1,38,7,2,64.6,4,1,37,Devin Singletary26
1,16,109,510,4.7,36,1,9,31.9,7,2,41,Josh Allen41
2,16,109,510,4.7,36,1,9,31.9,7,2,41,Josh Allen17
3,6,17,63,3.7,12,0,0,10.5,1,1,5,T.J. Yeldon22
4,15,8,49,6.1,16,0,0,3.3,0,0,4,Isaiah McKenzie19
5,13,2,29,14.5,22,1,0,2.2,0,0,1,Robert Foster16
6,15,1,9,9.0,9,0,0,0.6,0,0,1,Dawson Knox88
7,15,2,7,3.5,4,0,0,0.5,0,0,0,John Brown15
8,13,1,7,7.0,7,0,0,0.5,0,0,0,Andre Roberts18
9,16,3,7,2.3,4,0,0,0.4,0,0,0,Patrick DiMarco42
10,11,3,3,1.0,6,0,0,0.3,0,0,0,Senorise Perry
11,2,2,-4,-2.0,0,0,0,-2.0,1,0,0,Matt Barkley5
12,15,54,243,4.5,20,1,4,16.2,5,1,16,Ryan Fitzpatrick14
13,6,47,174,3.7,11,0,0,29.0,2,1,6,Kenyan Drake41
14,8,123,643,5.2,80,4,8,80.4,0,0,42,Kenyan Drake41
15,15,62,168,2.7,18,0,1,11.2,0,0,9,Patrick Laird42
16,12,74,135,1.8,8,0,3,11.3,0,0,10,Kalen Ballage27
17,7,36,133,3.7,27,1,1,19.0,0,0,7,Myles Gaskin37
18,13,5,45,9.0,28,1,0,3.5,0,0,1,Albert Wilson15
19,1,5,16,3.2,9,0,0,16.0,0,0,1,Samaje Perine
20,6,3,13,4.3,6,0,0,2.2,0,0,0,Josh Rosen3
21,8,1,11,11.0,11,0,0,1.4,0,0,1,Isaiah Ford84
22,8,4,6,1.5,5,0,0,0.8,0,0,0,De'Lance Turner34
23,10,4,5,1.3,7,0,1,0.5,0,0,1,Jakeem Grant19
24,16,1,2,2.0,2,0,0,0.1,0,0,1,Matt Haack2
25,16,247,912,3.7,26,3,7,57.0,2,1,55,Sony Michel26
26,13,65,302,4.6,33,1,3,23.2,0,0,18,Rex Burkhead34
27,15,67,263,3.9,32,1,1,17.5,0,0,15,James White28
28,15,15,68,4.5,21,1,3,4.5,0,0,5,Brandon Bolden38
29,7,5,49,9.8,18,0,0,7.0,0,0,4,N'Keal Harry15
30,16,26,34,1.3,17,0,3,2.1,1,0,8,Tom Brady12
31,16,8,27,3.4,9,0,0,1.7,0,0,2,Julian Edelman11
32,14,3,21,7.0,9,0,0,1.5,0,0,1,Phillip Dorsett II11
33,2,4,12,3.0,13,0,0,6.0,0,0,0,Damien Harris37
34,8,1,8,8.0,8,0,0,1.0,0,0,0,Mohamed Sanu Sr.14
35,7,2,3,1.5,2,0,0,0.4,0,0,1,Mohamed Sanu Sr.14
36,3,2,-2,-1.0,-1,0,0,-0.7,0,0,0,Jarrett Stidham4
37,15,245,789,3.2,19,0,3,52.6,0,0,36,Le'Veon Bell26
38,13,33,62,1.9,24,1,2,4.8,5,0,6,Sam Darnold14
39,13,3,52,17.3,20,1,1,4.0,0,0,3,Vyncint Smith17
40,3,8,12,1.5,10,0,0,4.0,0,0,1,Josh Adams36
41,16,1,4,4.0,4,0,0,0.3,0,0,0,Jamison Crowder82
42,16,1,4,4.0,4,0,0,0.3,0,0,0,Robby Anderson11
43,16,1,2,2.0,2,0,0,0.1,0,0,1,Trevon Wesco85
44,15,176,1206,6.9,47,11,7,80.4,8,2,71,Lamar Jackson21
45,15,176,1206,6.9,47,11,7,80.4,8,2,71,Lamar Jackson8
46,15,202,1018,5.0,53,6,10,67.9,2,2,53,Mark Ingram II21
47,16,133,711,5.3,63,5,2,44.4,2,1,46,Gus Edwards35
48,16,58,225,3.9,18,0,2,14.1,0,0,10,Justice Hill43
49,7,20,70,3.5,16,0,0,10.0,0,0,5,Robert Griffin III3
50,16,2,2,1.0,2,0,0,0.1,0,0,0,Willie Snead IV83
51,1,1,1,1.0,1,0,0,1.0,0,0,1,Trace McSorley7
52,8,1,1,1.0,1,0,0,0.1,0,0,0,De'Anthony Thomas16
