,GP,TD_RUSH,TD_REC,TD_RET,TD,SCORING_FG,SCORING_PAT,SCORING_2PT,SCORING_PTS,SCORING_TP/G,PlayerID
0,16,0,0,0,0,22,30,0,96,6.0,Stephen Hauschka4
1,16,9,0,0,9,0,0,1,56,3.5,Josh Allen41
2,16,9,0,0,9,0,0,1,56,3.5,Josh Allen17
3,15,0,6,0,6,0,0,2,40,2.7,Cole Beasley10
4,15,0,6,0,6,0,0,0,36,2.4,John Brown15
5,12,2,2,0,4,0,0,0,24,2.0,Devin Singletary26
6,15,0,2,0,2,0,0,0,12,0.8,Dawson Knox88
7,16,0,1,0,1,0,0,0,6,0.4,Lee Smith85
8,16,0,1,0,1,0,0,0,6,0.4,Dion Dawkins73
9,4,0,1,0,1,0,0,0,6,1.5,Duke Williams82
10,11,0,1,0,1,0,0,0,6,0.5,Tyler Kroft81
11,15,0,1,0,1,0,0,0,6,0.4,Isaiah McKenzie19
12,16,0,0,1,1,0,0,0,6,0.4,Micah Hyde23
13,16,0,0,0,0,0,0,0,2,0.1,Tremaine Edmunds49
14,16,0,1,0,1,23,29,0,104,6.5,Jason Sanders7
15,16,0,9,0,9,0,0,0,54,3.4,DeVante Parker11
16,16,0,5,0,5,0,0,0,30,1.9,Mike Gesicki88
17,15,4,0,0,4,0,0,0,24,1.6,Ryan Fitzpatrick14
18,8,0,3,0,3,0,0,0,18,2.3,Preston Williams18
19,12,3,0,0,3,0,0,0,18,1.5,Kalen Ballage27
20,14,0,2,0,2,0,0,0,12,0.9,Allen Hurns17
21,10,1,0,1,2,0,0,0,12,1.2,Jakeem Grant19
22,15,1,0,0,1,0,0,1,8,0.5,Patrick Laird42
23,13,0,1,0,1,0,0,0,6,0.5,Albert Wilson15
24,16,0,0,1,1,0,0,0,6,0.4,Eric Rowe21
25,16,0,1,0,1,0,0,0,6,0.4,Christian Wilkins94
26,7,1,0,0,1,0,0,0,6,0.9,Myles Gaskin37
27,16,7,0,0,7,0,0,0,42,2.6,Sony Michel26
28,15,1,5,0,6,0,0,1,38,2.5,James White28
29,16,0,6,0,6,0,0,1,38,2.4,Julian Edelman11
30,14,0,5,0,5,0,0,0,30,2.1,Phillip Dorsett II11
31,15,3,1,0,4,0,0,0,24,1.6,Brandon Bolden38
32,16,3,0,0,3,0,0,0,18,1.1,Tom Brady12
33,13,3,0,0,3,0,0,0,18,1.4,Rex Burkhead34
34,16,0,0,2,2,0,0,0,12,0.8,Stephon Gilmore24
35,7,0,2,0,2,0,0,0,12,1.7,N'Keal Harry15
36,15,0,0,1,1,0,0,0,6,0.4,Kyle Van Noy53
37,11,0,1,0,1,0,0,0,6,0.5,Matt LaCosse83
38,6,0,1,0,1,0,0,0,6,1.0,Ryan Izzo85
39,8,0,1,0,1,0,0,0,6,0.8,Mohamed Sanu Sr.14
40,7,0,1,0,1,0,0,0,6,0.9,Mohamed Sanu Sr.14
41,15,0,0,1,1,0,0,0,6,0.4,Dont'a Hightower54
42,16,0,0,1,1,0,0,0,6,0.4,Jamie Collins Sr.58
43,16,0,0,1,1,0,0,0,6,0.4,Chase Winovich50
44,16,0,1,0,1,0,0,0,6,0.4,Elandon Roberts52
45,16,0,0,1,1,0,0,0,6,0.4,Matthew Slater18
46,1,0,0,0,0,1,1,0,4,4.0,Kai Forbath3
47,3,0,0,0,0,10,10,0,40,13.3,Kai Forbath3
48,15,0,0,0,0,19,23,0,80,5.3,Sam Ficken9
49,16,0,6,0,6,0,0,0,36,2.3,Jamison Crowder82
50,13,0,5,0,5,0,0,1,32,2.5,Ryan Griffin84
51,13,0,5,0,5,0,0,1,32,2.5,Ryan Griffin4
52,16,0,5,0,5,0,0,1,32,2.0,Robby Anderson11
53,15,3,1,0,4,0,0,1,26,1.7,Le'Veon Bell26
54,14,0,0,2,2,0,0,0,12,0.9,Jamal Adams33
55,13,2,0,0,2,0,0,0,12,0.9,Sam Darnold14
56,14,0,0,1,1,0,0,0,8,0.6,Brian Poole34
57,16,0,1,0,1,0,0,0,6,0.4,Daniel Brown87
58,13,1,0,0,1,0,0,0,6,0.5,Vyncint Smith17
59,12,0,0,1,1,0,0,0,6,0.5,Arthur Maulet23
60,2,0,0,1,1,0,0,0,6,3.0,C.J. Mosley57
61,8,0,0,1,1,0,0,0,6,0.8,B.J. Bello49
62,10,0,0,0,0,0,0,0,2,0.2,James Burgess58
63,16,0,0,0,0,28,57,0,141,8.8,Justin Tucker9
64,15,10,5,0,15,0,0,2,94,6.3,Mark Ingram II21
65,15,0,10,0,10,0,0,0,60,4.0,Mark Andrews89
66,14,0,7,0,7,0,0,0,42,3.0,Marquise Brown15
67,15,7,0,0,7,0,0,0,42,2.8,Lamar Jackson21
68,15,7,0,0,7,0,0,0,42,2.8,Lamar Jackson8
69,16,0,5,0,5,0,0,0,30,1.9,Willie Snead IV83
70,16,0,3,0,3,0,0,0,18,1.1,Miles Boykin80
71,16,2,0,0,2,0,0,0,12,0.8,Justice Hill43
72,16,0,2,0,2,0,0,0,12,0.8,Hayden Hurst81
73,16,2,0,0,2,0,0,0,12,0.8,Gus Edwards35
74,16,0,2,0,2,0,0,0,12,0.8,Nick Boyle86
75,10,0,0,2,2,0,0,0,12,1.2,Marcus Peters24
76,6,0,0,1,1,0,0,0,6,1.0,Marcus Peters24
77,16,0,2,0,2,0,0,0,12,0.8,Seth Roberts15
78,16,0,0,2,2,0,0,0,12,0.8,Marlon Humphrey44
79,16,0,0,1,1,0,0,0,6,0.4,Tyus Bowser54
80,16,0,1,0,1,0,0,0,6,0.4,Patrick Ricard42
81,9,0,0,1,1,0,0,0,6,0.7,Jordan Richards28
82,16,0,0,0,0,27,24,0,105,6.6,Randy Bullock4
83,16,5,3,0,8,0,0,0,48,3.0,Joe Mixon28
84,16,0,5,0,5,0,0,0,30,1.9,Tyler Boyd83
85,13,4,0,0,4,0,0,1,26,2.0,Andy Dalton
86,16,0,3,0,3,0,0,1,20,1.3,Tyler Eifert88
87,8,0,3,0,3,0,0,0,18,2.3,John Ross III11
88,16,0,2,0,2,0,0,0,12,0.8,C.J. Uzomah87
89,12,0,1,0,1,0,0,0,6,0.5,Auden Tate19
90,12,0,0,1,1,0,0,0,6,0.5,Brandon Wilson40
91,15,0,1,0,1,0,0,0,6,0.4,Cethan Carter82
92,16,0,0,0,0,25,30,0,105,6.6,Austin Seibert4
93,16,8,0,0,8,0,0,0,48,3.0,Nick Chubb24
94,16,0,6,0,6,0,0,0,36,2.3,Jarvis Landry80
95,14,0,4,0,4,0,0,0,24,1.7,Ricky Seals-Jones83
96,16,0,4,0,4,0,0,0,24,1.5,Odell Beckham Jr.13
97,15,0,3,0,3,0,0,1,20,1.3,Demetrius Harris86
98,16,3,0,0,3,0,0,0,18,1.1,Baker Mayfield6
99,8,2,1,0,3,0,0,0,18,2.3,Kareem Hunt27
100,14,2,0,0,2,0,0,0,12,0.9,Dontrell Hilliard25
101,13,0,1,0,1,0,0,0,6,0.5,Damion Ratley18
102,4,0,1,0,1,0,0,0,6,1.5,David Njoku85
103,12,0,0,1,1,0,0,0,6,0.5,Denzel Ward21
104,9,0,1,0,1,0,0,0,6,0.7,Stephen Carlson89
105,16,0,0,0,0,29,28,0,115,7.2,Chris Boswell9
106,10,4,3,0,7,0,0,0,42,4.2,James Conner30
107,16,0,5,1,6,0,0,0,36,2.3,Diontae Johnson18
108,15,0,3,0,3,0,0,0,18,1.2,James Washington13
109,14,0,3,0,3,0,0,0,18,1.3,Vance McDonald89
110,12,0,3,0,3,0,0,0,18,1.5,JuJu Smith-Schuster19
111,14,1,1,0,2,0,0,0,12,0.9,Jaylen Samuels38
