,year,points_scored_gm,rush_yds_gm,pass_yds_gm,total_yds_gm,points_allowed_gm,rush_yds_allowed_gm,pass_yds_allowed_gm,yds_allowed_gm,TeamID
0,2019.0,27.1,134.6,296.9,431.5,20.1,103.5,223.5,327.0,DAL
1,2018.0,21.2,122.7,221.1,343.8,20.2,94.6,234.7,329.2,DAL
2,2017.0,22.1,135.6,196.3,331.9,20.8,104.0,214.1,318.1,DAL
3,2016.0,26.3,149.8,226.9,376.7,19.1,83.5,260.4,343.9,DAL
4,2015.0,17.2,118.1,216.9,335.1,23.4,120.9,227.0,347.9,DAL
5,2014.0,29.2,147.1,236.5,383.6,22.0,103.1,251.9,355.1,DAL
6,2013.0,27.4,94.0,247.1,341.1,27.0,128.5,286.8,415.3,DAL
7,2012.0,23.5,79.1,295.6,374.6,25.0,125.2,230.2,355.4,DAL
8,2011.0,23.1,112.9,262.6,375.5,21.7,99.1,244.1,343.2,DAL
9,2010.0,24.6,111.6,252.6,364.2,27.2,108.4,243.4,351.8,DAL
10,2009.0,22.6,131.4,267.9,399.4,15.6,90.5,225.4,315.9,DAL
11,2008.0,22.6,107.7,236.8,344.5,22.8,106.6,187.7,294.3,DAL
12,2007.0,28.4,109.1,256.6,365.7,20.3,94.6,213.1,307.6,DAL
13,2006.0,26.6,121.0,239.8,360.8,21.9,103.7,219.1,322.8,DAL
14,2005.0,20.3,116.3,208.8,325.1,19.2,108.2,192.7,300.9,DAL
15,2004.0,18.3,110.6,214.2,324.8,25.3,110.2,220.1,330.3,DAL
16,2003.0,18.1,124.9,197.6,322.6,16.2,89.1,164.4,253.5,DAL
17,2002.0,13.6,109.6,163.8,273.4,20.6,113.6,215.6,329.2,DAL
18,2001.0,15.4,136.5,138.6,275.1,21.1,106.9,180.6,287.4,DAL
19,2000.0,18.4,122.1,157.6,279.7,22.6,164.8,168.3,333.1,DAL
20,2019.0,33.2,206.0,201.6,407.6,17.6,93.4,207.2,300.6,BAL
21,2018.0,24.3,152.6,222.4,374.9,17.9,82.9,210.0,292.9,BAL
22,2017.0,24.7,116.0,189.4,305.4,18.9,111.2,213.8,325.1,BAL
23,2016.0,21.4,91.4,256.2,347.7,20.1,89.4,232.8,322.1,BAL
24,2015.0,20.5,92.4,266.9,359.3,25.1,103.8,233.6,337.4,BAL
25,2014.0,25.6,126.2,238.7,364.9,18.9,88.2,248.7,336.9,BAL
26,2013.0,20.0,83.0,224.4,307.4,22.0,105.4,230.1,335.5,BAL
27,2012.0,24.9,118.8,233.7,352.5,21.5,122.8,228.1,350.9,BAL
28,2011.0,23.6,124.8,213.9,338.7,16.6,92.6,196.2,288.9,BAL
29,2010.0,22.3,114.4,208.4,322.9,16.9,93.9,224.9,318.9,BAL
30,2009.0,24.4,137.5,213.7,351.2,16.3,93.2,207.2,300.5,BAL
31,2008.0,24.1,148.5,175.5,324.0,15.2,81.4,179.7,261.1,BAL
32,2007.0,17.2,112.3,189.7,302.0,24.0,79.2,222.3,301.6,BAL
33,2006.0,22.1,102.3,214.7,317.0,12.6,75.9,188.2,264.1,BAL
34,2005.0,16.6,100.3,193.0,293.3,18.7,99.4,184.9,284.3,BAL
35,2004.0,19.8,128.9,144.5,273.4,16.8,105.1,195.1,300.2,BAL
36,2003.0,24.4,167.1,140.9,308.1,17.6,96.0,175.3,271.3,BAL
37,2002.0,19.8,112.0,177.9,289.9,22.1,110.1,224.4,334.6,BAL
38,2001.0,18.9,113.1,207.1,320.2,16.6,88.2,189.7,277.9,BAL
39,2000.0,20.8,137.4,175.9,313.4,10.3,60.6,187.3,247.9,BAL
40,2019.0,28.6,95.1,302.8,397.9,28.1,73.8,270.1,343.9,TB
41,2018.0,24.8,95.2,320.3,415.5,29.0,123.9,259.4,383.4,TB
42,2017.0,20.9,90.6,272.9,363.5,23.9,117.5,260.6,378.1,TB
43,2016.0,22.1,101.0,245.4,346.4,23.1,117.2,250.8,367.9,TB
44,2015.0,21.4,135.1,240.8,375.9,26.1,100.4,240.0,340.4,TB
45,2014.0,17.3,85.9,206.1,292.0,25.6,113.7,255.2,368.9,TB
46,2013.0,18.0,100.8,176.2,277.0,24.3,110.1,237.9,348.0,TB
47,2012.0,24.3,114.8,248.9,363.8,24.6,82.5,297.4,379.9,TB
48,2011.0,17.9,91.1,228.1,319.2,30.9,156.1,238.4,394.4,TB
49,2010.0,21.3,125.1,210.1,335.1,19.9,131.7,201.0,332.7,TB
50,2009.0,15.2,101.7,185.8,287.5,25.0,158.2,207.4,365.6,TB
51,2008.0,22.6,114.8,226.2,341.0,20.2,118.8,187.3,306.1,TB
52,2007.0,20.9,117.0,209.8,326.8,16.9,107.9,170.5,278.4,TB
53,2006.0,13.2,95.2,174.9,270.1,22.1,119.8,209.6,329.4,TB
54,2005.0,18.8,114.1,180.6,294.8,17.1,94.7,183.1,277.8,TB
55,2004.0,18.8,93.1,217.1,310.2,19.0,123.3,161.2,284.5,TB
56,2003.0,18.8,103.0,237.8,340.8,16.5,109.8,169.4,279.1,TB
57,2002.0,21.6,97.3,215.3,312.6,12.2,97.1,155.6,252.8,TB
58,2001.0,20.2,85.7,207.7,293.4,17.5,106.4,184.4,290.8,TB
59,2000.0,24.2,129.1,161.4,290.6,16.8,103.0,197.0,300.0,TB
60,2019.0,29.9,144.1,237.0,381.1,19.4,112.6,169.2,281.8,SF
61,2018.0,21.4,118.9,241.7,360.6,27.2,113.4,233.2,346.6,SF
62,2017.0,20.7,103.9,245.3,349.2,23.9,116.3,235.2,351.6,SF
63,2016.0,19.3,126.2,181.9,308.1,30.0,165.9,240.5,406.4,SF
64,2015.0,14.9,96.5,207.2,303.8,24.2,126.2,261.2,387.4,SF
65,2014.0,19.1,136.0,191.4,327.4,21.2,100.8,220.7,321.4,SF
66,2013.0,25.4,137.6,186.2,323.8,17.0,95.9,221.0,316.9,SF
67,2012.0,24.8,155.7,206.1,361.8,17.1,94.2,200.2,294.4,SF
68,2011.0,23.8,127.8,183.1,310.9,14.3,77.2,230.9,308.2,SF
69,2010.0,19.1,103.6,209.8,313.3,21.6,96.7,231.1,327.8,SF
70,2009.0,20.6,100.0,190.8,290.8,17.6,97.0,229.4,326.4,SF
71,2008.0,21.2,99.9,211.2,311.1,23.8,106.8,219.2,326.0,SF
72,2007.0,13.7,92.3,145.0,237.3,22.8,118.5,227.7,346.2,SF
73,2006.0,18.6,135.8,168.0,303.8,25.8,121.0,223.2,344.2,SF
74,2005.0,14.9,105.6,118.6,224.2,26.8,114.5,276.7,391.2,SF
75,2004.0,16.2,90.6,196.0,286.6,28.2,124.7,217.9,342.6,SF
76,2003.0,24.0,142.4,213.0,355.4,21.1,105.6,202.4,308.0,SF
77,2002.0,22.9,140.2,216.1,356.3,21.9,103.2,219.1,322.4,SF
78,2001.0,25.6,140.2,215.3,355.6,17.6,98.2,211.4,309.6,SF
79,2000.0,24.2,112.6,264.9,377.5,26.4,112.1,244.7,356.8,SF
80,2019.0,23.8,85.1,294.6,379.7,24.9,110.9,244.9,355.8,ATL
81,2018.0,25.9,98.3,290.8,389.1,26.4,124.9,259.6,384.5,ATL
82,2017.0,22.1,115.4,249.4,364.8,19.7,104.1,214.3,318.4,ATL
83,2016.0,33.8,120.5,295.3,415.8,25.4,104.5,266.7,371.2,ATL
84,2015.0,21.2,100.4,273.7,374.1,21.6,105.0,242.6,347.6,ATL
85,2014.0,23.8,93.6,284.6,378.2,26.1,118.4,279.9,398.2,ATL
86,2013.0,22.1,77.9,265.2,343.1,27.7,135.8,243.6,379.4,ATL
87,2012.0,26.2,87.3,281.8,369.1,18.7,123.2,242.4,365.6,ATL
88,2011.0,25.1,114.6,262.0,376.6,21.9,97.0,236.6,333.6,ATL
89,2010.0,25.9,118.2,222.9,341.1,18.0,105.9,226.6,332.4,ATL
90,2009.0,22.7,117.2,223.2,340.4,20.3,106.9,241.9,348.9,ATL
91,2008.0,24.4,152.7,208.5,361.2,20.3,127.9,220.4,348.2,ATL
92,2007.0,16.2,95.0,206.0,301.0,25.9,127.1,228.4,355.5,ATL
93,2006.0,18.2,183.7,148.2,331.9,20.5,103.6,229.2,332.8,ATL
94,2005.0,21.9,159.1,167.4,326.6,21.3,128.9,196.1,325.0,ATL
95,2004.0,21.2,167.0,150.8,317.8,21.1,105.1,220.4,325.4,ATL
96,2003.0,18.7,121.8,150.5,272.3,26.4,144.2,237.5,381.8,ATL
97,2002.0,25.1,148.0,197.9,345.9,19.6,127.9,205.4,333.4,ATL
98,2001.0,18.2,110.1,206.8,316.9,23.6,121.4,243.9,365.3,ATL
99,2000.0,15.8,75.9,173.8,249.6,25.8,123.9,226.5,350.4,ATL
100,2019.0,28.2,98.1,281.1,379.2,19.2,128.2,221.4,349.6,KC
101,2018.0,35.3,115.9,309.7,425.6,26.3,132.1,273.4,405.5,KC
102,2017.0,25.9,118.9,256.5,375.4,21.2,118.1,247.0,365.1,KC
103,2016.0,24.3,109.2,233.8,343.0,19.4,121.1,247.4,368.5,KC
104,2015.0,25.3,127.8,203.4,331.2,17.9,98.2,231.1,329.3,KC
105,2014.0,22.1,119.9,198.9,318.8,17.6,127.2,203.2,330.5,KC
106,2013.0,26.9,128.5,208.8,337.2,19.1,120.2,247.6,367.8,KC
107,2012.0,13.2,149.7,169.6,319.2,26.6,135.7,220.8,356.5,KC
108,2011.0,13.2,118.3,192.5,310.8,21.1,132.0,201.3,333.3,KC
109,2010.0,22.9,164.2,185.5,349.7,20.4,110.2,219.9,330.2,KC
110,2009.0,18.4,120.6,182.6,303.2,26.5,156.5,231.7,388.2,KC
111,2008.0,18.2,113.1,195.6,308.7,27.5,158.9,234.2,393.2,KC
112,2007.0,14.1,78.0,198.8,276.8,20.9,130.6,188.9,319.4,KC
113,2006.0,20.7,133.9,187.5,321.4,19.7,120.5,208.4,328.9,KC
114,2005.0,25.2,148.9,238.1,387.0,20.3,98.1,229.9,328.1,KC
115,2004.0,30.2,143.1,275.4,418.4,27.2,114.6,262.7,377.3,KC
116,2003.0,30.2,120.6,248.8,369.4,20.8,146.5,210.2,356.7,KC
117,2002.0,29.2,148.6,226.4,375.0,24.9,129.2,261.3,390.5,KC
118,2001.0,20.0,125.5,229.1,354.6,21.5,133.8,197.8,331.5,KC
119,2000.0,22.2,91.6,259.3,350.9,22.1,113.1,216.9,330.0,KC
120,2019.0,24.6,93.7,281.2,374.9,22.8,113.1,226.6,339.6,LAR
121,2018.0,32.9,139.4,281.7,421.1,24.0,122.3,236.2,358.6,LAR
122,2017.0,29.9,122.1,239.4,361.5,20.6,122.3,217.2,339.5,LAR
123,2016.0,14.0,78.2,184.4,262.7,24.6,103.8,233.2,337.0,LAR
124,2019.0,25.3,137.5,236.9,374.4,24.9,117.7,263.9,381.6,SEA
125,2018.0,26.8,160.0,193.3,353.3,21.7,113.2,240.1,353.3,SEA
126,2017.0,22.9,101.8,228.6,330.4,20.8,114.0,209.2,323.2,SEA
127,2016.0,22.1,99.4,257.8,357.2,18.2,92.9,225.8,318.7,SEA
128,2015.0,26.4,141.8,236.9,378.6,17.3,81.5,210.2,291.8,SEA
129,2014.0,24.6,172.6,203.1,375.8,15.9,81.5,185.6,267.1,SEA
130,2013.0,26.1,136.8,202.2,339.0,14.4,101.6,172.0,273.6,SEA
131,2012.0,25.8,161.2,189.4,350.6,15.3,103.1,203.1,306.2,SEA
132,2011.0,20.1,109.8,194.1,303.8,19.7,112.3,219.9,332.2,SEA
133,2010.0,19.4,89.0,208.8,297.8,25.4,118.9,249.6,368.6,SEA
134,2009.0,17.5,97.9,218.9,316.8,24.4,111.0,245.4,356.4,SEA
