,Rank,REC,REC_TGT,REC_YDS,REC_Y/R,REC_LG,REC_20+,REC_TD,RUSH_ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,OWN,Year,PlayerID
0,4,98,178,1426,14.6,82,18,11,0,0,0,0,16,306.6,19.2,92.6%,2013,A.J. Green
1,4,98,178,1426,14.6,82,18,11,0,0,0,0,16,306.6,19.2,92.6%,2013,A.J. Green18
2,24,69,116,1041,15.1,81,13,6,2,2,0,2,13,205.3,15.8,92.6%,2014,A.J. Green
3,24,69,116,1041,15.1,81,13,6,2,2,0,2,13,205.3,15.8,92.6%,2014,A.J. Green18
4,8,86,132,1297,15.1,80,19,10,0,0,0,1,16,187.7,11.7,92.6%,2015,A.J. Green
5,8,86,132,1297,15.1,80,19,10,0,0,0,1,16,187.7,11.7,92.6%,2015,A.J. Green18
6,34,66,100,964,14.6,54,15,4,0,0,0,0,10,120.4,12.0,92.6%,2016,A.J. Green
7,34,66,100,964,14.6,54,15,4,0,0,0,0,10,120.4,12.0,92.6%,2016,A.J. Green18
8,10,75,143,1078,14.4,77,9,8,0,0,0,2,16,151.8,9.5,92.6%,2017,A.J. Green
9,10,75,143,1078,14.4,77,9,8,0,0,0,2,16,151.8,9.5,92.6%,2017,A.J. Green18
10,37,46,77,694,15.1,38,12,6,0,0,0,1,9,103.4,11.5,92.6%,2018,A.J. Green
11,37,46,77,694,15.1,38,12,6,0,0,0,1,9,103.4,11.5,92.6%,2018,A.J. Green18
12,435,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,92.6%,2019,A.J. Green
13,435,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,92.6%,2019,A.J. Green18
14,8,89,150,1421,16.0,80,20,7,16,105,0,1,16,283.6,17.7,76.1%,2013,Alshon Jeffery17
15,10,85,145,1133,13.3,74,17,10,6,33,0,0,16,261.6,16.4,76.1%,2014,Alshon Jeffery17
16,41,54,94,807,14.9,50,14,4,0,0,0,0,9,104.7,11.6,76.1%,2015,Alshon Jeffery17
17,53,52,94,821,15.8,54,12,2,0,0,0,0,12,94.1,7.8,76.1%,2016,Alshon Jeffery17
18,15,57,120,789,13.8,53,8,9,0,0,0,0,16,138.9,8.7,76.1%,2017,Alshon Jeffery17
19,26,65,92,843,13.0,52,9,6,0,0,0,0,13,120.3,9.3,76.1%,2018,Alshon Jeffery17
20,59,43,73,490,11.4,38,6,4,1,2,1,0,10,79.2,7.9,76.1%,2019,Alshon Jeffery17
21,12,82,125,1332,16.2,61,25,9,3,2,0,0,16,269.4,16.8,45.0%,2013,DeSean Jackson10
22,23,56,95,1169,20.9,81,16,6,4,7,0,0,15,209.6,14.0,45.0%,2014,DeSean Jackson10
23,59,30,49,528,17.6,77,10,4,0,0,0,1,9,74.8,8.3,45.0%,2015,DeSean Jackson10
24,30,56,100,1005,17.9,80,19,4,0,0,0,0,15,124.5,8.3,45.0%,2016,DeSean Jackson10
25,45,50,90,668,13.4,41,10,3,3,38,0,0,14,88.6,6.3,45.0%,2017,DeSean Jackson10
26,32,41,74,774,18.9,75,13,4,6,29,1,0,12,110.3,9.2,45.0%,2018,DeSean Jackson10
27,114,9,10,159,17.7,53,2,2,0,0,0,0,3,27.9,9.3,45.0%,2019,DeSean Jackson10
28,14,105,151,1056,10.1,44,9,6,2,11,0,0,16,251.7,15.7,94.2%,2013,Julian Edelman11
29,17,92,134,972,10.6,69,7,4,10,94,0,0,14,222.6,15.9,94.2%,2014,Julian Edelman11
30,37,61,88,692,11.3,59,8,7,3,23,0,1,9,111.5,12.4,94.2%,2015,Julian Edelman11
31,22,98,159,1106,11.3,77,11,3,12,57,0,2,16,132.3,8.3,94.2%,2016,Julian Edelman11
32,552,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,94.2%,2017,Julian Edelman11
33,23,74,108,850,11.5,36,12,6,9,107,0,0,12,133.4,11.1,94.2%,2018,Julian Edelman11
34,13,100,153,1117,11.2,44,13,6,8,27,0,1,16,156.3,9.8,94.2%,2019,Julian Edelman11
35,17,82,134,954,11.6,75,11,10,2,8,0,1,16,238.2,14.9,28.7%,2013,Larry Fitzgerald11
36,51,63,104,784,12.4,80,11,2,0,0,0,1,14,151.4,10.8,28.7%,2014,Larry Fitzgerald11
37,11,109,145,1215,11.1,44,17,9,0,0,0,2,16,171.5,10.7,28.7%,2015,Larry Fitzgerald11
38,17,107,150,1023,9.6,32,8,6,2,5,0,1,16,136.9,8.6,28.7%,2016,Larry Fitzgerald11
39,9,109,161,1156,10.6,37,16,6,0,0,0,1,16,152.4,9.5,28.7%,2017,Larry Fitzgerald11
40,28,69,112,734,10.6,37,8,6,0,0,0,0,16,116.7,7.3,28.7%,2018,Larry Fitzgerald11
41,42,75,109,804,10.7,54,10,4,0,0,0,1,16,102.4,6.4,28.7%,2019,Larry Fitzgerald11
42,18,71,104,1046,14.7,43,16,8,0,0,0,2,15,223.6,14.9,98.8%,2013,Keenan Allen13
43,37,77,121,783,10.2,35,6,4,0,0,0,2,14,175.3,12.5,98.8%,2014,Keenan Allen13
44,47,67,89,725,10.8,38,8,4,0,0,0,1,8,94.5,11.8,98.8%,2015,Keenan Allen13
45,168,6,7,63,10.5,15,0,0,0,0,0,0,1,6.3,6.3,98.8%,2016,Keenan Allen13
46,3,102,159,1393,13.7,51,18,6,2,9,0,0,16,182.2,11.4,98.8%,2017,Keenan Allen13
47,14,97,137,1196,12.3,54,13,6,9,75,0,1,16,163.1,10.2,98.8%,2018,Keenan Allen13
48,11,104,149,1199,11.5,45,15,6,3,16,0,0,16,157.5,9.8,98.8%,2019,Keenan Allen13
49,19,82,138,1083,13.2,73,13,5,2,6,0,0,16,221.9,13.9,95.2%,2013,T.Y. Hilton13
50,12,82,131,1345,16.4,73,21,7,2,20,0,1,15,258.5,17.2,95.2%,2014,T.Y. Hilton13
51,22,69,134,1124,16.3,87,17,5,0,0,0,0,16,142.4,8.9,95.2%,2015,T.Y. Hilton13
52,5,91,155,1448,15.9,63,28,6,0,0,0,0,16,182.8,11.4,95.2%,2016,T.Y. Hilton13
53,24,57,109,966,16.9,80,14,4,0,0,0,1,16,118.6,7.4,95.2%,2017,T.Y. Hilton13
54,15,76,120,1270,16.7,68,22,6,0,0,0,0,14,163.0,11.6,95.2%,2018,T.Y. Hilton13
55,58,45,68,501,11.1,35,6,5,0,0,0,0,10,80.1,8.0,95.2%,2019,T.Y. Hilton13
56,30,64,98,898,14.0,80,12,5,3,31,0,0,16,186.9,11.7,58.7%,2013,Golden Tate15
57,11,99,144,1331,13.4,73,17,4,5,30,0,0,16,259.1,16.2,58.7%,2014,Golden Tate15
58,34,90,128,813,9.0,43,7,6,6,41,0,1,16,119.4,7.5,58.7%,2015,Golden Tate15
59,23,91,135,1077,11.8,67,13,4,10,4,0,1,16,132.1,8.3,58.7%,2016,Golden Tate15
60,19,92,120,1003,10.9,71,10,5,5,22,0,1,16,132.5,8.3,58.7%,2017,Golden Tate15
61,34,74,113,795,10.7,67,9,4,4,34,0,0,15,108.9,7.3,58.7%,2018,Golden Tate15
62,41,49,85,676,13.8,64,10,6,1,16,0,1,11,103.2,9.4,58.7%,2019,Golden Tate15
63,32,67,112,740,11.0,55,12,6,1,25,0,0,16,180.7,11.3,81.6%,2013,Emmanuel Sanders17
64,5,101,141,1404,13.9,48,24,9,8,44,0,0,16,301.8,18.9,81.6%,2014,Emmanuel Sanders17
65,18,76,137,1135,14.9,75,12,6,3,29,0,2,15,148.4,9.9,81.6%,2015,Emmanuel Sanders17
66,21,79,137,1032,13.1,64,12,5,1,4,0,0,16,133.6,8.4,81.6%,2016,Emmanuel Sanders17
67,61,47,92,555,11.8,38,11,2,0,0,0,0,12,67.5,5.6,81.6%,2017,Emmanuel Sanders17
68,24,71,98,868,12.2,64,13,4,4,53,1,0,12,127.2,10.6,81.6%,2018,Emmanuel Sanders17
69,32,66,97,869,13.2,75,11,5,0,0,0,0,17,124.3,7.3,81.6%,2019,Emmanuel Sanders17
70,46,45,77,469,10.4,79,7,4,12,158,3,0,16,149.7,9.4,0.2%,2013,Cordarrelle Patterson84
71,82,33,67,384,11.6,28,4,1,10,117,1,1,16,93.1,5.8,0.2%,2014,Cordarrelle Patterson84
72,190,2,2,10,5.0,9,0,0,2,15,0,1,16,0.5,0.0,0.2%,2015,Cordarrelle Patterson84
73,81,52,70,453,8.7,39,4,2,7,43,0,0,16,61.6,3.9,0.2%,2016,Cordarrelle Patterson84
74,72,31,42,309,10.0,59,3,0,13,121,2,0,16,55.0,3.4,0.2%,2017,Cordarrelle Patterson84
75,73,21,28,247,11.8,55,4,3,42,228,1,1,15,69.5,4.6,0.2%,2018,Cordarrelle Patterson84
76,126,11,17,83,7.5,33,1,0,17,103,0,0,16,24.6,1.5,0.2%,2019,Cordarrelle Patterson84
77,50,52,91,802,15.4,66,12,2,0,0,0,1,16,144.2,9.0,99.8%,2013,DeAndre Hopkins10
78,14,76,127,1210,15.9,76,20,6,0,0,0,1,16,231.0,14.4,99.8%,2014,DeAndre Hopkins10
79,6,111,192,1521,13.7,61,19,11,0,0,0,0,16,220.1,13.8,99.8%,2015,DeAndre Hopkins10
80,37,78,151,954,12.2,51,10,4,0,0,0,0,16,119.4,7.5,99.8%,2016,DeAndre Hopkins10
81,1,96,174,1378,14.4,72,24,13,0,0,0,1,15,213.8,14.3,99.8%,2017,DeAndre Hopkins10
82,4,115,163,1572,13.7,49,23,11,1,-7,0,2,16,218.5,13.7,99.8%,2018,DeAndre Hopkins10
83,9,104,150,1165,11.2,43,16,7,2,18,0,0,15,165.5,11.0,99.8%,2019,DeAndre Hopkins10
84,55,54,83,633,11.7,57,8,2,1,1,0,0,12,129.4,10.8,3.4%,2013,Danny Amendola80
85,104,27,42,200,7.4,21,1,1,0,0,0,0,16,53.0,3.3,3.4%,2014,Danny Amendola80
86,53,65,87,648,10.0,41,5,3,2,11,0,1,14,83.3,6.0,3.4%,2015,Danny Amendola80
87,95,23,29,243,10.6,32,1,4,0,0,0,1,12,46.5,3.9,3.4%,2016,Danny Amendola80
88,53,61,86,659,10.8,27,7,2,0,0,0,0,15,77.9,5.2,3.4%,2017,Danny Amendola80
89,74,59,79,575,9.7,39,4,1,1,-2,0,0,15,68.4,4.6,3.4%,2018,Danny Amendola80
90,60,62,97,678,10.9,47,6,1,0,0,0,0,15,78.6,5.2,3.4%,2019,Danny Amendola80
91,56,32,50,641,20.0,76,7,5,3,10,0,0,16,127.1,7.9,10.6%,2013,Kenny Stills12
92,38,63,84,931,14.8,69,10,3,1,-2,0,0,15,173.9,11.6,10.6%,2014,Kenny Stills12
